winery,wine,year,rating,num_reviews,country,region,price,type,body,acidity
Alion,Ribera del Duero,2013,4.5,7435,Espana,Ribera del Duero,73.0,Ribera Del Duero Red,5.0,3.0
Alion,Ribera del Duero,2014,4.5,7237,Espana,Ribera del Duero,56.27,Ribera Del Duero Red,5.0,3.0
Pintia,Toro,2014,4.5,5863,Espana,Toro,69.0,Toro Red,5.0,3.0
Pago de Carraovejas,Tinto,2018,4.5,5372,Espana,Ribera del Duero,45.0,Ribera Del Duero Red,5.0,3.0
Alion,Ribera del Duero,2015,4.5,5365,Espana,Ribera del Duero,75.0,Ribera Del Duero Red,5.0,3.0
Pintia,Toro,2015,4.5,4979,Espana,Toro,69.8,Toro Red,5.0,3.0
Aalto,PS (Pagos Seleccionados) Ribera del Duero,2016,4.5,4411,Espana,Ribera del Duero,78.65,Ribera Del Duero Red,5.0,3.0
Pintia,Toro,2016,4.5,3118,Espana,Toro,40.41,Toro Red,5.0,3.0
Dominio de Pingus,Flor de Pingus,2016,4.5,2887,Espana,Ribera del Duero,101.94,Ribera Del Duero Red,5.0,3.0
Bodegas El Nido,Clio,2015,4.5,2712,Espana,Jumilla,33.2,Red,4.0,3.0
Bodegas El Nido,Clio,2017,4.5,2220,Espana,Jumilla,39.5,Red,4.0,3.0
Aalto,PS (Pagos Seleccionados) Ribera del Duero,2011,4.5,2207,Espana,Ribera del Duero,64.0,Ribera Del Duero Red,5.0,3.0
Pago de Carraovejas,Tinto,2019,4.5,2144,Espana,Ribera del Duero,33.8,Ribera Del Duero Red,5.0,3.0
Benjamin de Rothschild - Vega Sicilia,Macan,2014,4.5,1910,Espana,Rioja,58.95,Rioja Red,4.0,3.0
Aalto,Tinto,2018,4.5,1864,Espana,Ribera del Duero,33.25,Ribera Del Duero Red,5.0,3.0
Bodegas El Nido,Clio,2018,4.5,1520,Espana,Jumilla,61.8491765262698,Red,4.0,3.0
Alto Moncayo,Garnacha,2017,4.5,1503,Espana,Campo de Borja,44.27,Grenache,5.0,3.0
Pago de Los Capellanes,Parcela El Nogal Tinto,2015,4.5,1393,Espana,Ribera del Duero,45.9,Ribera Del Duero Red,5.0,3.0
Benjamin de Rothschild - Vega Sicilia,Macan,2015,4.5,1345,Espana,Rioja,68.9,Rioja Red,4.0,3.0
