winery,wine,year,rating,num_reviews,region,price,type,body,acidity
teso la monja,tinto,2013,7,58,toro,995.0,toro red,3,2
artadi,vina el pison,2018,7,31,vino de espana,313.5,tempranillo,2,1
vega sicilia,unico,2009,6,1793,ribera del duero,324.95,ribera del duero red,3,2
vega sicilia,unico,1999,6,1705,ribera del duero,692.96,ribera del duero red,3,2
vega sicilia,unico,1996,6,1309,ribera del duero,778.06,ribera del duero red,3,2
vega sicilia,unico,1998,6,1209,ribera del duero,490.0,ribera del duero red,3,2
vega sicilia,unico,2010,6,1201,ribera del duero,349.0,ribera del duero red,3,2
vega sicilia,unico,1995,6,926,ribera del duero,810.89,ribera del duero red,3,2
vega sicilia,unico reserva especial edicion,2015,6,643,ribera del duero,345.0,ribera del duero red,3,2
vega sicilia,unico,2011,6,630,ribera del duero,315.0,ribera del duero red,3,2
vega sicilia,unico reserva especial edicion,2016,6,591,ribera del duero,514.85,ribera del duero red,3,2
pago de carraovejas,el anejon,2016,6,454,ribera del duero,105.15,ribera del duero red,3,2
vega sicilia,unico reserva especial edicion,2018,6,438,ribera del duero,430.0,ribera del duero red,3,2
vega sicilia,unico,1970,6,417,ribera del duero,925.0,ribera del duero red,3,2
toro albala,don px convento seleccion,1946,6,398,montilla-moriles,350.0,pedro ximenez,3,0
pago de carraovejas,cuesta de las liebres,2015,6,372,ribera del duero,166.18,ribera del duero red,3,2
vega sicilia,unico,1962,6,295,ribera del duero,1620.0,ribera del duero red,3,2
vega sicilia,unico reserva especial edicion,2019,6,250,ribera del duero,431.36,ribera del duero red,3,2
bodegas el nido,el nido,2018,6,217,jumilla,195.627379550654,red,2,2
vega sicilia,unico reserva especial edicion,2004,6,211,ribera del duero,824.43,ribera del duero red,3,2
valdespino,toneles moscatel,2011,6,174,jerez-xeres-sherry,253.0,sherry,2,2
vega sicilia,unico reserva especial edicion,2013,6,172,ribera del duero,570.51,ribera del duero red,3,2
dominio de pingus,pingus,2016,6,145,ribera del duero,1280.0,ribera del duero red,3,2
toro albala,don px convento seleccion,1931,6,139,montilla-moriles,244.85,pedro ximenez,3,0
vega sicilia,unico reserva especial edicion,2010,6,125,ribera del duero,719.34,ribera del duero red,3,2
vega sicilia,unico,1979,6,118,ribera del duero,815.0,ribera del duero red,3,2
toro albala,don px pedro ximenez,1946,6,103,montilla-moriles,285.86,pedro ximenez,3,0
alvaro palacios,l'ermita velles vinyes priorat,2004,6,87,priorato,1410.26,priorat red,2,2
vega sicilia,unico reserva especial edicion,2005,6,87,ribera del duero,813.96,ribera del duero red,3,2
vega sicilia,unico reserva especial edicion,2020,6,84,ribera del duero,435.75,ribera del duero red,3,2
ordonez,vatan arena tinta de toro,2014,6,79,toro,369.05,toro red,3,2
vega sicilia,unico reserva especial edicion,1985,6,70,ribera del duero,1182.77,ribera del duero red,3,2
toro albala,don px convento seleccion,1929,6,69,montilla-moriles,227.95,pedro ximenez,3,0
bodegas valduero,ribera del duero gran reserva 12 anos,1999,6,68,ribera del duero,999.0,ribera del duero red,3,2
vina sastre,pesus ribera del duero,2007,6,68,ribera del duero,360.0,ribera del duero red,3,2
teso la monja,tinto,2012,6,56,toro,1190.0,toro red,3,2
dominio de pingus,pingus,2017,6,52,ribera del duero,1150.0,ribera del duero red,3,2
teso la monja,tinto,2009,6,50,toro,950.0,toro red,3,2
alvaro palacios,l'ermita velles vinyes priorat,2008,6,40,priorato,1021.21,priorat red,2,2
sierra cantabria,magico,2016,6,40,rioja,544.5,rioja red,2,2
teso la monja,tinto,2011,6,32,toro,1295.0,toro red,3,2
alvaro palacios,l'ermita velles vinyes priorat,2017,6,31,priorato,992.2,priorat red,2,2
teso la monja,tinto,2015,6,28,toro,1289.44,toro red,3,2
descendientes de j. palacios,la faraona bierzo (corullon),2017,6,26,bierzo,1098.9,red,2,2
la rioja alta,gran reserva 890,1985,6,26,rioja,215.34,rioja red,2,2
alvaro palacios,l'ermita velles vinyes priorat,2018,6,26,priorato,1094.9,priorat red,2,2
vega sicilia,unico reserva especial edicion,2011,5,12421,ribera del duero,423.5,ribera del duero red,3,2
vega sicilia,valbuena 5o,2010,5,5266,ribera del duero,239.5,ribera del duero red,3,2
vega sicilia,valbuena 5o,2014,5,4350,ribera del duero,175.5,ribera del duero red,3,2
vega sicilia,valbuena 5o,2006,5,3929,ribera del duero,194.0,ribera del duero red,3,2
vega sicilia,unico,2005,5,3437,ribera del duero,381.15,ribera del duero red,3,2
vega sicilia,unico,2004,5,3164,ribera del duero,584.43,ribera del duero red,3,2
vega sicilia,unico,2000,5,3127,ribera del duero,555.2,ribera del duero red,3,2
vega sicilia,unico,2007,5,2935,ribera del duero,445.28,ribera del duero red,3,2
vega sicilia,valbuena 5o,2015,5,2826,ribera del duero,189.0,ribera del duero red,3,2
vega sicilia,unico,2006,5,2765,ribera del duero,362.25,ribera del duero red,3,2
vega sicilia,unico,2008,5,2480,ribera del duero,289.0,ribera del duero red,3,2
vega sicilia,unico,2003,5,2419,ribera del duero,325.0,ribera del duero red,3,2
vega sicilia,valbuena 5o,2016,5,2177,ribera del duero,107.57,ribera del duero red,3,2
vega sicilia,valbuena 5o,2005,5,1892,ribera del duero,234.0,ribera del duero red,3,2
vega sicilia,unico,2002,5,1199,ribera del duero,500.94,ribera del duero red,3,2
vega sicilia,unico,1991,5,1141,ribera del duero,698.9,ribera del duero red,3,2
vega sicilia,unico,1994,5,940,ribera del duero,872.47,ribera del duero red,3,2
vega sicilia,unico reserva especial edicion,2000,5,935,ribera del duero,877.85,ribera del duero red,3,2
vega sicilia,unico,1990,5,690,ribera del duero,827.94,ribera del duero red,3,2
pago de carraovejas,cuesta de las liebres,2014,5,685,ribera del duero,113.18,ribera del duero red,3,2
vega sicilia,unico,1989,5,675,ribera del duero,679.72,ribera del duero red,3,2
vega sicilia,unico,1987,5,593,ribera del duero,787.59,ribera del duero red,3,2
vega sicilia,unico reserva especial edicion,2017,5,560,ribera del duero,480.06,ribera del duero red,3,2
pago de carraovejas,el anejon,2015,5,543,ribera del duero,75.1,ribera del duero red,3,2
bodegas el nido,el nido,2014,5,511,jumilla,154.9,red,2,2
bodegas el nido,el nido,2013,5,476,jumilla,145.0,red,2,2
vega sicilia,unico reserva especial edicion,1996,5,442,ribera del duero,290.0,ribera del duero red,3,2
marques de murrieta,castillo ygay gran reserva especial blanco,1986,5,425,rioja,795.0,rioja white,1,2
bodegas el nido,el nido,2016,5,393,jumilla,371.78009750522,red,2,2
bodegas el nido,el nido,2008,5,347,jumilla,134.19,red,2,2
vinedos de paganos,la nieta,2015,5,312,rioja,82.58,rioja red,2,2
vega sicilia,unico,1981,5,308,ribera del duero,873.86,ribera del duero red,3,2
vega sicilia,unico reserva especial edicion,2007,5,303,ribera del duero,774.4,ribera del duero red,3,2
emilio moro,malleolus de valderramiro,2016,5,300,ribera del duero,84.95,ribera del duero red,3,2
dominio de pingus,pingus,2001,5,295,ribera del duero,940.0,ribera del duero red,3,2
