winery,wine,year,rating,num_reviews,country,region,price,type,body,acidity
422,759,2013,4.9,58,0,69,995.0,19,5.0,3.0
33,819,2018,4.9,31,0,74,313.5,18,4.0,2.0
447,778,2009,4.8,1793,0,57,324.95,11,5.0,3.0
447,778,1999,4.8,1705,0,57,692.96,11,5.0,3.0
447,778,1996,4.8,1309,0,57,778.06,11,5.0,3.0
447,778,1998,4.8,1209,0,57,490.0,11,5.0,3.0
447,778,2010,4.8,1201,0,57,349.0,11,5.0,3.0
447,778,1995,4.8,926,0,57,810.89,11,5.0,3.0
447,779,2015,4.8,643,0,57,345.0,11,5.0,3.0
447,778,2011,4.8,630,0,57,315.0,11,5.0,3.0
447,779,2016,4.8,591,0,57,514.85,11,5.0,3.0
353,241,2016,4.8,454,0,57,105.15,11,5.0,3.0
447,779,2018,4.8,438,0,57,430.0,11,5.0,3.0
447,778,1970,4.8,417,0,57,925.0,11,5.0,3.0
428,231,1946,4.8,398,0,44,350.0,8,5.0,1.0
353,206,2015,4.8,372,0,57,166.18,11,5.0,3.0
447,778,1962,4.8,295,0,57,1620.0,11,5.0,3.0
447,779,2019,4.8,250,0,57,431.36,11,5.0,3.0
80,252,2018,4.8,217,0,35,195.627379550654,10,4.0,3.0
447,779,2004,4.8,211,0,57,824.43,11,5.0,3.0
441,762,N.V.,4.8,174,0,34,253.0,15,4.0,3.0
447,779,2013,4.8,172,0,57,570.51,11,5.0,3.0
183,584,2016,4.8,145,0,57,1280.0,11,5.0,3.0
428,231,1931,4.8,139,0,44,244.85,8,5.0,1.0
447,779,2010,4.8,125,0,57,719.34,11,5.0,3.0
447,778,1979,4.8,118,0,57,815.0,11,5.0,3.0
428,233,1946,4.8,103,0,44,285.86,8,5.0,1.0
24,388,2004,4.8,87,0,53,1410.26,9,4.0,3.0
447,779,2005,4.8,87,0,57,813.96,11,5.0,3.0
447,779,2020,4.8,84,0,57,435.75,11,5.0,3.0
346,793,2014,4.8,79,0,69,369.05,19,5.0,3.0
447,779,1985,4.8,70,0,57,1182.77,11,5.0,3.0
428,231,1929,4.8,69,0,44,227.95,8,5.0,1.0
103,643,1999,4.8,68,0,57,999.0,11,5.0,3.0
456,579,2007,4.8,68,0,57,360.0,11,5.0,3.0
422,759,2012,4.8,56,0,69,1190.0,19,5.0,3.0
183,584,2017,4.8,52,0,57,1150.0,11,5.0,3.0
422,759,2009,4.8,50,0,69,950.0,19,5.0,3.0
24,388,2008,4.8,40,0,53,1021.21,9,4.0,3.0
409,456,2016,4.8,40,0,59,544.5,12,4.0,3.0
422,759,2011,4.8,32,0,69,1295.0,19,5.0,3.0
24,388,2017,4.8,31,0,53,992.2,9,4.0,3.0
422,759,2015,4.8,28,0,69,1289.44,19,5.0,3.0
171,404,2017,4.8,26,0,8,1098.9,10,4.0,3.0
268,343,1985,4.8,26,0,59,215.34,12,4.0,3.0
24,388,2018,4.8,26,0,53,1094.9,9,4.0,3.0
447,779,2009,4.7,12421,0,57,423.5,11,5.0,3.0
447,786,2010,4.7,5266,0,57,239.5,11,5.0,3.0
447,786,2014,4.7,4350,0,57,175.5,11,5.0,3.0
447,786,2006,4.7,3929,0,57,194.0,11,5.0,3.0
447,778,2005,4.7,3437,0,57,381.15,11,5.0,3.0
447,778,2004,4.7,3164,0,57,584.43,11,5.0,3.0
447,778,2000,4.7,3127,0,57,555.2,11,5.0,3.0
447,778,2007,4.7,2935,0,57,445.28,11,5.0,3.0
447,786,2015,4.7,2826,0,57,189.0,11,5.0,3.0
447,778,2006,4.7,2765,0,57,362.25,11,5.0,3.0
447,778,2008,4.7,2480,0,57,289.0,11,5.0,3.0
447,778,2003,4.7,2419,0,57,325.0,11,5.0,3.0
447,786,2016,4.7,2177,0,57,107.57,11,5.0,3.0
447,786,2005,4.7,1892,0,57,234.0,11,5.0,3.0
447,778,2002,4.7,1199,0,57,500.94,11,5.0,3.0
447,778,1991,4.7,1141,0,57,698.9,11,5.0,3.0
447,778,1994,4.7,940,0,57,872.47,11,5.0,3.0
447,779,2000,4.7,935,0,57,877.85,11,5.0,3.0
447,778,1990,4.7,690,0,57,827.94,11,5.0,3.0
353,206,2014,4.7,685,0,57,113.18,11,5.0,3.0
447,778,1989,4.7,675,0,57,679.72,11,5.0,3.0
447,778,1987,4.7,593,0,57,787.59,11,5.0,3.0
447,779,2017,4.7,560,0,57,480.06,11,5.0,3.0
353,241,2015,4.7,543,0,57,75.1,11,5.0,3.0
80,252,2014,4.7,511,0,35,154.9,10,4.0,3.0
80,252,2013,4.7,476,0,35,145.0,10,4.0,3.0
447,779,1996,4.7,442,0,57,290.0,11,5.0,3.0
297,132,1986,4.7,425,0,59,795.0,13,3.0,3.0
80,252,2016,4.7,393,0,35,371.78009750522,10,4.0,3.0
80,252,2008,4.7,347,0,35,134.19,10,4.0,3.0
461,413,2015,4.7,312,0,59,82.58,12,4.0,3.0
447,778,1981,4.7,308,0,57,873.86,11,5.0,3.0
447,779,2007,4.7,303,0,57,774.4,11,5.0,3.0
196,463,2016,4.7,300,0,57,84.95,11,5.0,3.0
183,584,2001,4.7,295,0,57,940.0,11,5.0,3.0
447,778,1986,4.7,292,0,57,812.63,11,5.0,3.0
196,462,2016,4.7,291,0,57,116.54,11,5.0,3.0
183,584,2004,4.7,285,0,57,1500.0,11,5.0,3.0
183,584,2006,4.7,280,0,57,1190.0,11,5.0,3.0
80,252,2017,4.7,268,0,35,154.85,10,4.0,3.0
422,35,2016,4.7,264,0,69,135.0,19,5.0,3.0
380,411,2015,4.7,256,0,69,63.75,19,5.0,3.0
447,778,1985,4.7,254,0,57,827.94,11,5.0,3.0
91,750,2017,4.7,251,0,15,66.07,18,4.0,2.0
59,193,2012,4.7,243,0,59,213.9,12,4.0,3.0
390,469,2006,4.7,240,0,59,234.9,12,4.0,3.0
447,778,1968,4.7,225,0,57,2087.25,11,5.0,3.0
461,413,2018,4.7,220,0,59,89.9,12,4.0,3.0
447,778,1964,4.7,214,0,57,1384.54,11,5.0,3.0
447,778,1982,4.7,205,0,57,820.98,11,5.0,3.0
183,584,2015,4.7,203,0,57,1250.0,11,5.0,3.0
447,779,1995,4.7,196,0,57,1500.0,11,5.0,3.0
183,584,1999,4.7,184,0,57,1715.18,11,5.0,3.0
447,778,1974,4.7,173,0,57,932.3,11,5.0,3.0
24,388,1998,4.7,171,0,53,1372.14,9,4.0,3.0
98,129,2015,4.7,137,0,69,78.9,19,5.0,3.0
447,779,2012,4.7,136,0,57,660.96,11,5.0,3.0
355,567,2009,4.7,134,0,57,154.0,11,5.0,3.0
447,786,2017,4.7,133,0,57,134.89,11,5.0,3.0
24,388,2000,4.7,132,0,53,1422.96,9,4.0,3.0
62,748,2005,4.7,131,0,69,207.11,19,5.0,3.0
447,779,2011,4.7,131,0,57,340.49,11,5.0,3.0
196,168,2010,4.7,127,0,57,317.63,11,5.0,3.0
19,76,2011,4.7,123,0,12,108.9,4,5.0,3.0
447,778,1983,4.7,118,0,57,700.0,11,5.0,3.0
428,231,1955,4.7,117,0,44,185.0,8,5.0,1.0
447,778,1980,4.7,116,0,57,911.43,11,5.0,3.0
59,193,2005,4.7,112,0,59,1150.0,12,4.0,3.0
447,778,1972,4.7,110,0,57,698.95,11,5.0,3.0
62,748,2004,4.7,108,0,69,2814.16,19,5.0,3.0
422,759,2010,4.7,102,0,69,1325.0,19,5.0,3.0
24,610,2015,4.7,102,0,59,527.26,12,4.0,3.0
447,779,1987,4.7,100,0,57,1071.45,11,5.0,3.0
309,4,2015,4.7,94,0,53,299.0,9,4.0,3.0
217,758,2016,4.7,92,0,10,43.13,21,4.158426788816932,2.9466119096509242
447,778,1953,4.7,89,0,57,1207.6,11,5.0,3.0
97,165,2000,4.7,87,0,59,175.0,12,4.0,3.0
24,388,2015,4.7,82,0,53,1252.35,9,4.0,3.0
80,252,2019,4.7,80,0,35,145.9,10,4.0,3.0
309,4,2013,4.7,74,0,53,447.95,9,4.0,3.0
447,779,2006,4.7,72,0,57,813.96,11,5.0,3.0
24,388,2005,4.7,67,0,53,1410.26,9,4.0,3.0
305,112,2006,4.7,65,0,53,182.9,9,4.0,3.0
388,776,2007,4.7,64,0,17,99.0,2,2.0,3.0
447,779,1986,4.7,63,0,57,1113.2,11,5.0,3.0
148,600,2007,4.7,60,0,53,654.31,9,4.0,3.0
355,567,2016,4.7,59,0,57,134.26,11,5.0,3.0
49,617,N.V.,4.7,58,0,32,380.0,15,4.0,3.0
268,343,1982,4.7,57,0,59,292.09,12,4.0,3.0
232,67,1987,4.7,53,0,32,400.85,15,4.0,3.0
148,215,2007,4.7,51,0,53,202.01,10,4.0,3.0
428,233,1955,4.7,50,0,44,250.0,8,5.0,1.0
461,413,2019,4.7,49,0,59,88.9,12,4.0,3.0
71,255,2016,4.7,49,0,59,77.9,12,4.0,3.0
428,231,1958,4.7,47,0,44,191.61,8,5.0,1.0
422,35,2018,4.7,45,0,69,123.89,19,5.0,3.0
25,31,N.V.,4.7,42,0,44,114.28,8,5.0,1.0
201,396,N.V.,4.7,41,0,41,95.57,15,4.0,3.0
329,769,2018,4.7,41,0,12,93.95,4,5.0,3.0
420,452,2012,4.7,40,0,57,248.0,11,5.0,3.0
33,819,1995,4.7,39,0,74,397.0,18,4.0,2.0
382,729,2019,4.7,37,0,72,194.86,21,4.158426788816932,2.9466119096509242
388,625,2011,4.7,35,0,17,65.05,2,2.0,3.0
91,750,2019,4.7,33,0,15,86.9,18,4.0,2.0
456,579,2004,4.7,32,0,57,472.5,11,5.0,3.0
417,782,2010,4.7,31,0,25,379.0,10,4.0,3.0
168,342,2001,4.7,31,0,57,185.15,11,5.0,3.0
456,615,1998,4.7,30,0,57,94.2,11,5.0,3.0
322,407,2018,4.7,29,0,61,46.0,12,4.0,3.0
24,388,2016,4.7,28,0,53,919.6,9,4.0,3.0
237,613,1987,4.7,27,0,2,81.9,21,4.158426788816932,2.9466119096509242
297,133,1942,4.7,27,0,59,680.0,12,4.0,3.0
447,786,2011,4.6,6803,0,57,218.0,11,5.0,3.0
447,786,2012,4.6,5938,0,57,177.0,11,5.0,3.0
447,786,2008,4.6,5545,0,57,187.3,11,5.0,3.0
447,786,2007,4.6,5116,0,57,195.59,11,5.0,3.0
447,786,2013,4.6,4747,0,57,135.0,11,5.0,3.0
447,786,2009,4.6,4685,0,57,225.2,11,5.0,3.0
13,646,2016,4.6,4516,0,57,79.8,11,5.0,3.0
2,544,2017,4.6,3383,0,57,116.187943627787,11,5.0,3.0
2,544,2018,4.6,3239,0,57,89.3,11,5.0,3.0
297,133,2010,4.6,2416,0,59,438.9,12,4.0,3.0
13,646,2017,4.6,2208,0,57,79.9,11,5.0,3.0
447,786,2004,4.6,1608,0,57,249.0,11,5.0,3.0
183,311,2018,4.6,1363,0,57,129.95,11,5.0,3.0
2,544,2019,4.6,1108,0,57,76.95,11,5.0,3.0
447,786,2000,4.6,1015,0,57,252.0,11,5.0,3.0
447,786,2002,4.6,936,0,57,232.0,11,5.0,3.0
62,748,2012,4.6,840,0,69,214.0,19,5.0,3.0
62,748,2011,4.6,790,0,69,205.0,19,5.0,3.0
127,546,2015,4.6,700,0,57,49.95,11,5.0,3.0
196,462,2011,4.6,693,0,57,125.0,11,5.0,3.0
447,786,1999,4.6,595,0,57,276.8,11,5.0,3.0
196,463,2015,4.6,516,0,57,75.0,11,5.0,3.0
183,584,2010,4.6,410,0,57,1359.75,11,5.0,3.0
353,206,2010,4.6,405,0,57,81.5,11,5.0,3.0
183,584,2012,4.6,400,0,57,890.0,11,5.0,3.0
186,258,2015,4.6,388,0,69,43.5,19,5.0,3.0
196,462,2015,4.6,369,0,57,99.0,11,5.0,3.0
183,584,2013,4.6,323,0,57,1198.72,11,5.0,3.0
91,750,2015,4.6,313,0,15,94.95,18,4.0,2.0
91,750,2016,4.6,304,0,15,89.0,18,4.0,2.0
183,584,2005,4.6,293,0,57,1785.96,11,5.0,3.0
461,413,2017,4.6,286,0,59,108.21,12,4.0,3.0
33,819,2006,4.6,274,0,74,391.5,18,4.0,2.0
183,584,1998,4.6,244,0,57,1350.0,11,5.0,3.0
97,165,2007,4.6,242,0,59,145.0,12,4.0,3.0
97,165,2012,4.6,231,0,59,173.38,12,4.0,3.0
59,193,2011,4.6,225,0,59,220.0,12,4.0,3.0
297,214,2017,4.6,222,0,59,85.7,12,4.0,3.0
447,778,1965,4.6,218,0,57,2884.04,11,5.0,3.0
409,304,2015,4.6,214,0,59,79.9,12,4.0,3.0
456,553,2018,4.6,211,0,57,68.7,11,5.0,3.0
183,584,2003,4.6,205,0,57,1638.95,11,5.0,3.0
313,173,2004,4.6,202,0,53,150.0,9,4.0,3.0
127,546,2016,4.6,200,0,57,48.95,11,5.0,3.0
355,567,2014,4.6,197,0,57,109.41,11,5.0,3.0
196,462,2014,4.6,186,0,57,119.0,11,5.0,3.0
447,786,1992,4.6,176,0,57,195.0,11,5.0,3.0
183,584,2014,4.6,172,0,57,1595.0,11,5.0,3.0
33,819,2010,4.6,169,0,74,519.55,18,4.0,2.0
355,567,2012,4.6,165,0,57,89.0,11,5.0,3.0
33,819,2011,4.6,165,0,74,511.9,18,4.0,2.0
24,388,1999,4.6,164,0,53,980.0,9,4.0,3.0
129,209,2015,4.6,160,0,35,73.0,10,4.0,3.0
33,819,2012,4.6,159,0,74,280.0,18,4.0,2.0
447,778,1973,4.6,157,0,57,932.3,11,5.0,3.0
59,193,2014,4.6,157,0,59,251.99,12,4.0,3.0
98,129,2014,4.6,153,0,69,61.69,19,5.0,3.0
24,388,1996,4.6,150,0,53,1372.14,9,4.0,3.0
62,748,2014,4.6,147,0,69,210.5,19,5.0,3.0
447,786,1985,4.6,146,0,57,285.0,11,5.0,3.0
316,649,2001,4.6,145,0,57,245.75,11,5.0,3.0
447,786,1989,4.6,143,0,57,228.57,11,5.0,3.0
59,193,2015,4.6,143,0,59,319.9,12,4.0,3.0
33,819,2005,4.6,142,0,74,325.0,18,4.0,2.0
339,517,2011,4.6,139,0,53,345.0,9,4.0,3.0
91,785,2018,4.6,136,0,15,58.9,18,4.0,2.0
390,469,2005,4.6,136,0,59,159.0,12,4.0,3.0
459,101,2013,4.6,135,0,65,69.9,10,4.0,3.0
447,779,1989,4.6,133,0,57,895.4,11,5.0,3.0
422,35,2017,4.6,131,0,69,147.85,19,5.0,3.0
91,750,2018,4.6,128,0,15,88.05,18,4.0,2.0
24,388,1997,4.6,127,0,53,1080.0,9,4.0,3.0
298,318,2001,4.6,124,0,59,301.0,18,4.0,2.0
33,819,2014,4.6,124,0,74,275.0,18,4.0,2.0
447,778,1967,4.6,123,0,57,1106.24,11,5.0,3.0
34,59,2016,4.6,123,0,57,64.9,11,5.0,3.0
183,584,2000,4.6,122,0,57,1503.0,11,5.0,3.0
24,388,1995,4.6,122,0,53,1372.14,9,4.0,3.0
33,819,2015,4.6,122,0,74,241.55,18,4.0,2.0
90,401,2013,4.6,116,0,53,89.17,9,4.0,3.0
447,778,1975,4.6,115,0,57,769.9,11,5.0,3.0
180,759,2019,4.6,114,0,57,67.94,11,5.0,3.0
426,23,2016,4.6,113,0,57,44.0,11,5.0,3.0
33,819,2009,4.6,113,0,74,445.0,18,4.0,2.0
117,589,2010,4.6,112,0,53,87.02,9,4.0,3.0
447,779,2009,4.6,111,0,57,747.17,11,5.0,3.0
186,258,2018,4.6,111,0,69,49.95,19,5.0,3.0
348,123,2018,4.6,107,0,15,50.51,20,3.0,3.0
34,338,2004,4.6,105,0,57,157.4,11,5.0,3.0
19,76,2015,4.6,105,0,12,120.9,4,5.0,3.0
183,584,1996,4.6,102,0,57,1746.94,11,5.0,3.0
140,373,2015,4.6,100,0,57,75.3,11,5.0,3.0
127,546,2018,4.6,99,0,57,47.5,11,5.0,3.0
447,778,2012,4.6,98,0,57,359.9,11,5.0,3.0
104,759,2019,4.6,97,0,57,43.5,11,5.0,3.0
14,88,2005,4.6,95,0,59,136.0,12,4.0,3.0
161,224,2006,4.6,94,0,53,117.239420060872,21,4.158426788816932,2.9466119096509242
355,567,2011,4.6,93,0,57,135.0,11,5.0,3.0
390,772,2013,4.6,91,0,59,82.5,12,4.0,3.0
97,165,2017,4.6,90,0,59,149.9,12,4.0,3.0
422,759,2008,4.6,87,0,69,1260.0,19,5.0,3.0
355,236,2015,4.6,86,0,57,59.0,11,5.0,3.0
103,756,2011,4.6,85,0,57,82.5,11,5.0,3.0
297,133,2011,4.6,85,0,59,195.0,12,4.0,3.0
447,786,1980,4.6,84,0,57,195.0,11,5.0,3.0
34,623,2016,4.6,83,0,57,54.5,11,5.0,3.0
241,621,2015,4.6,80,0,57,79.1,11,5.0,3.0
313,340,2004,4.6,79,0,53,272.0,9,4.0,3.0
136,286,2014,4.6,75,0,25,99.0,17,4.0,3.0
347,725,N.V.,4.6,74,0,34,189.99,15,4.0,3.0
196,168,2011,4.6,72,0,57,317.63,11,5.0,3.0
409,58,2007,4.6,70,0,59,399.6,12,4.0,3.0
428,331,1910,4.6,70,0,44,701.05,8,5.0,1.0
388,625,2008,4.6,69,0,17,74.9,2,2.0,3.0
148,600,2008,4.6,66,0,53,654.31,9,4.0,3.0
447,786,1983,4.6,66,0,57,247.75,11,5.0,3.0
428,234,1965,4.6,65,0,44,144.99,8,5.0,1.0
24,388,2001,4.6,65,0,53,945.0,9,4.0,3.0
241,619,2017,4.6,64,0,57,50.0,11,5.0,3.0
476,294,2016,4.6,63,0,59,126.64,12,4.0,3.0
296,29,2008,4.6,63,0,23,162.38,10,4.0,3.0
159,828,2001,4.6,60,0,59,81.0,12,4.0,3.0
24,388,2010,4.6,60,0,53,2750.0,9,4.0,3.0
297,214,2001,4.6,59,0,59,121.0,12,4.0,3.0
24,439,2016,4.6,59,0,53,355.95,9,4.0,3.0
234,140,2001,4.6,58,0,17,164.66,2,2.0,3.0
19,76,2016,4.6,58,0,12,120.9,4,5.0,3.0
185,346,2014,4.6,58,0,57,218.9,11,5.0,3.0
242,572,2016,4.6,57,0,57,65.95,11,5.0,3.0
90,401,2014,4.6,53,0,53,86.0,9,4.0,3.0
225,34,2017,4.6,53,0,56,34.5,21,4.158426788816932,2.9466119096509242
29,728,2007,4.6,51,0,40,282.65,10,4.0,3.0
309,4,2017,4.6,51,0,53,259.9,9,4.0,3.0
447,778,1961,4.6,50,0,57,1099.28,11,5.0,3.0
132,130,2016,4.6,49,0,75,35.0,6,5.0,3.0
171,501,2016,4.6,48,0,8,269.95,5,3.0,3.0
267,124,2014,4.6,47,0,18,27.2693427,10,4.0,3.0
183,584,2018,4.6,47,0,57,1250.0,11,5.0,3.0
137,153,2016,4.6,47,0,59,52.95,12,4.0,3.0
350,387,2018,4.6,46,0,59,114.95,12,4.0,3.0
107,191,N.V.,4.6,46,0,34,89.9,15,4.0,3.0
447,786,1979,4.6,46,0,57,195.0,11,5.0,3.0
70,636,2015,4.6,45,0,70,29.35,10,4.0,3.0
377,250,2014,4.6,45,0,59,79.9,12,4.0,3.0
316,648,2016,4.6,45,0,57,53.95,11,5.0,3.0
131,300,2018,4.6,44,0,56,26.2,21,4.158426788816932,2.9466119096509242
309,4,2016,4.6,43,0,53,270.44,9,4.0,3.0
33,416,2009,4.6,42,0,74,187.5,18,4.0,2.0
297,629,1954,4.6,42,0,59,210.0,12,4.0,3.0
241,621,2016,4.6,41,0,57,85.63,11,5.0,3.0
33,819,2017,4.6,41,0,74,304.54,18,4.0,2.0
443,376,2020,4.6,41,0,53,34.3,9,4.0,3.0
148,600,2003,4.6,41,0,53,993.28,9,4.0,3.0
409,58,2017,4.6,40,0,59,85.95,12,4.0,3.0
354,679,2020,4.6,39,0,47,12.0,21,4.158426788816932,2.9466119096509242
196,168,2015,4.6,39,0,57,249.9,11,5.0,3.0
447,779,1982,4.6,39,0,57,1238.43,11,5.0,3.0
409,304,2002,4.6,38,0,59,128.0,12,4.0,3.0
171,788,2011,4.6,38,0,8,135.5,5,3.0,3.0
435,759,2019,4.6,38,0,60,40.5,12,4.0,3.0
217,758,2017,4.6,37,0,10,43.1,21,4.158426788816932,2.9466119096509242
90,401,2017,4.6,36,0,53,85.0,9,4.0,3.0
455,666,1986,4.6,35,0,59,123.0,12,4.0,3.0
178,789,2012,4.6,34,0,57,106.35,11,5.0,3.0
428,234,1962,4.6,34,0,44,207.0,8,5.0,1.0
321,637,2016,4.6,33,0,74,75.95,20,3.0,3.0
185,346,2015,4.6,33,0,57,185.3,11,5.0,3.0
421,445,2016,4.6,33,0,53,205.95,9,4.0,3.0
219,768,2016,4.6,32,0,57,40.45,11,5.0,3.0
33,245,2017,4.6,32,0,74,176.89,18,4.0,2.0
248,740,2013,4.6,32,0,10,79.9,10,4.0,3.0
231,822,2011,4.6,30,0,59,79.0,12,4.0,3.0
134,682,2013,4.6,30,0,21,195.27,10,4.0,3.0
4,211,2017,4.6,30,0,63,58.9,10,4.0,3.0
24,388,2014,4.6,30,0,53,1660.0,9,4.0,3.0
178,789,2013,4.6,29,0,57,111.9,11,5.0,3.0
70,636,2017,4.6,29,0,70,29.95,10,4.0,3.0
198,780,2010,4.6,28,0,65,129.9,10,4.0,3.0
52,453,2017,4.6,28,0,59,69.95,12,4.0,3.0
