winery,wine,year,rating,num_reviews,country,region,price,type,body,acidity,price_log,num_reviews_log,acidity_squared
Palmeri Sicilia,Palmeri Navalta Garnacha,2016.0,4.2,151,Espana,Campo de Borja,28.9,Grenache,4.0,3.0,3.3978584803966405,5.966146739123692,9.0
Felix Solis,Mucho Mas Tinto,2015.0,4.2,32624,Espana,Vino de Espana,4.99,Red,4.0,3.0,2.990719731730447,6.030685260261263,9.0
Marques de Riscal,Rioja Reserva,2016.0,4.2,16505,Espana,Rioja,15.9,Rioja Red,4.0,3.0,2.990719731730447,6.030685260261263,9.0
La Rioja Alta,Vina Ardanza Reserva,2007.0,4.2,9098,Espana,Rioja,23.7,Rioja Red,4.0,3.0,3.2068032436339315,6.030685260261263,9.0
Marques de Murrieta,Reserva Rioja (Finca Ygay),2016.0,4.2,8318,Espana,Rioja,23.0,Rioja Red,4.0,3.0,3.1780538303479458,6.030685260261263,9.0
Emilio Moro,Ribera del Duero,2018.0,4.2,7825,Espana,Ribera del Duero,19.5,Ribera Del Duero Red,4.0,3.0,3.0204248861443626,6.030685260261263,9.0
Emilio Moro,Ribera del Duero,2017.0,4.2,7294,Espana,Ribera del Duero,21.2,Ribera Del Duero Red,4.0,3.0,3.100092288878234,6.030685260261263,9.0
Tinto Pesquera,Reserva,2012.0,4.2,6567,Espana,Ribera del Duero,27.0,Ribera Del Duero Red,4.0,3.0,3.332204510175204,6.030685260261263,9.0
La Rioja Alta,Vina Ardanza Reserva,2008.0,4.2,6532,Espana,Rioja,33.0,Rioja Red,4.0,3.0,3.5263605246161616,6.030685260261263,9.0
El Coto,Coto de Imaz Rioja Gran Reserva,2012.0,4.2,6256,Espana,Rioja,16.14,Rioja Red,4.0,3.0,2.990719731730447,6.030685260261263,9.0
Dominio de Pingus,PSI,2016.0,4.2,6163,Espana,Ribera del Duero,37.95,Ribera Del Duero Red,4.0,3.0,3.6622787723167574,6.030685260261263,9.0
La Rioja Alta,Vina Alberdi Reserva,2015.0,4.2,5802,Espana,Rioja,17.02,Rioja Red,4.0,3.0,2.990719731730447,6.030685260261263,9.0
Abadia Retuerta,Seleccion Especial,2014.0,4.2,5178,Espana,Sardon de Duero,49.85,Red,4.0,3.0,3.928880122494569,6.030685260261263,9.0
Mar de Frades,Rias Baixas Albarino Atlantico,2019.0,4.2,4610,Espana,Rias Baixas,14.95,Albarino,4.0,3.0,2.990719731730447,6.030685260261263,9.0
Matarromera,Crianza,2016.0,4.2,4127,Espana,Ribera del Duero,9.76,Ribera Del Duero Red,4.0,3.0,2.990719731730447,6.030685260261263,9.0
Arzuaga,Ribera del Duero Crianza,2016.0,4.2,4091,Espana,Ribera del Duero,19.16,Ribera Del Duero Red,4.0,3.0,3.0037004432031678,6.030685260261263,9.0
La Rioja Alta,Vina Alberdi Reserva,2016.0,4.2,3825,Espana,Rioja,15.8,Rioja Red,4.0,3.0,2.990719731730447,6.030685260261263,9.0
Imperial,Rioja Reserva,2015.0,4.2,3788,Espana,Rioja,19.8333333333333,Rioja Red,4.0,3.0,3.0365542680742443,6.030685260261263,9.0
Protos,27 Ribera del Duero,2016.0,4.2,3725,Espana,Ribera del Duero,21.0,Ribera Del Duero Red,4.0,3.0,3.091042453358316,6.030685260261263,9.0
Terras Gauda,Terras Gauda O Rosal,2020.0,4.2,3648,Espana,Rias Baixas,12.29,Albarino,4.0,3.0,2.990719731730447,6.030685260261263,9.0
Protos,27 Ribera del Duero,2017.0,4.2,3545,Espana,Ribera del Duero,23.75,Ribera Del Duero Red,4.0,3.0,3.2088254890146994,6.030685260261263,9.0
Remelluri,Rioja Reserva,2012.0,4.2,3453,Espana,Rioja,15.83,Rioja Red,4.0,3.0,2.990719731730447,6.030685260261263,9.0
Arzuaga,Ribera del Duero Crianza,2017.0,4.2,3354,Espana,Ribera del Duero,15.45,Ribera Del Duero Red,4.0,3.0,2.990719731730447,6.030685260261263,9.0
Familia Torres,Salmos,2016.0,4.2,3225,Espana,Priorato,24.85,Priorat Red,4.0,3.0,3.2523106009544382,6.030685260261263,9.0
Pago de Los Capellanes,Crianza Tinto,2017.0,4.2,3224,Espana,Ribera del Duero,20.95,Ribera Del Duero Red,4.0,3.0,3.08876713952118,6.030685260261263,9.0
Marques de Riscal,Rioja Gran Reserva,2007.0,4.2,3101,Espana,Rioja,28.43,Rioja Red,4.0,3.0,3.382014562245381,6.030685260261263,9.0
R. Lopez de Heredia,Vina Bosconia Reserva,2008.0,4.2,2901,Espana,Rioja Alta,22.58,Rioja Red,4.0,3.0,3.160398895109225,6.030685260261263,9.0
Bodegas Mauro,Red,2011.0,4.2,2820,Espana,Castilla y Leon,58.26,Red,4.0,3.0,4.031582240485785,6.030685260261263,9.0
R. Lopez de Heredia,Vina Bosconia Reserva,2007.0,4.2,2820,Espana,Rioja Alta,20.95,Rioja Red,4.0,3.0,3.08876713952118,6.030685260261263,9.0
Familia Torres,Mas La Plana Cabernet Sauvignon,2010.0,4.2,2788,Espana,Penedes,48.4,Cabernet Sauvignon,4.0,3.0,3.899950424193877,6.030685260261263,9.0
Rafael Palacios,Louro Godello,2015.0,4.2,2685,Espana,Valdeorras,19.7,Rioja Red,4.0,3.0,3.0301337002713233,6.030685260261263,9.0
Imperial,Rioja Reserva,2016.0,4.2,2676,Espana,Rioja,24.75,Rioja Red,4.0,3.0,3.248434627109745,6.030685260261263,9.0
Bodegas Roda,Roda Reserva Rioja,2015.0,4.2,2478,Espana,Rioja,55.47,Rioja Red,4.0,3.0,4.031582240485785,6.030685260261263,9.0
Bodegas Roda,Roda Reserva Rioja,2012.0,4.2,2375,Espana,Rioja,28.4,Rioja Red,4.0,3.0,3.380994674344636,6.030685260261263,9.0
Imperial,Rioja Reserva,2014.0,4.2,2364,Espana,Rioja,27.6,Rioja Red,4.0,3.0,3.353406717825807,6.030685260261263,9.0
Juan Gil,Jumilla Blue Label,2015.0,4.2,2271,Espana,Jumilla,24.76,Red,4.0,3.0,3.248822901236153,6.030685260261263,9.0
Juan Gil,Jumilla Blue Label,2018.0,4.2,2234,Espana,Jumilla,24.6,Red,4.0,3.0,3.242592351485517,6.030685260261263,9.0
Juan Gil,Jumilla Blue Label,2017.0,4.2,2135,Espana,Jumilla,22.5,Red,4.0,3.0,3.157000421150113,6.030685260261263,9.0
Bodegas Faustino,I Gran Reserva,1994.0,4.2,2074,Espana,Rioja,124.5,Rioja Red,4.0,3.0,4.031582240485785,6.030685260261263,9.0
Carmelo Rodero,Crianza,2017.0,4.2,2050,Espana,Ribera del Duero,19.99,Ribera Del Duero Red,4.0,3.0,3.0440461338325413,6.030685260261263,9.0
Atalaya,La Atalaya del Camino,2017.0,4.2,2022,Espana,Almansa,11.8,Red,4.0,3.0,2.990719731730447,6.030685260261263,9.0
Protos,27 Ribera del Duero,2018.0,4.2,1981,Espana,Ribera del Duero,23.74,Ribera Del Duero Red,4.0,3.0,3.208421366964342,6.030685260261263,9.0
Bodegas Roda,Roda Reserva Rioja,2013.0,4.2,1931,Espana,Rioja,30.35,Rioja Red,4.0,3.0,3.4452142670789296,6.030685260261263,9.0
Protos,Gran Reserva,2012.0,4.2,1921,Espana,Ribera del Duero,38.84,Ribera Del Duero Red,4.0,3.0,3.6848714327163976,6.030685260261263,9.0
Remelluri,Rioja Reserva,2013.0,4.2,1768,Espana,Rioja,21.5,Rioja Red,4.0,3.0,3.1135153092103742,6.030685260261263,9.0
Tinto Pesquera,Reserva,2015.0,4.2,1688,Espana,Ribera del Duero,29.95,Ribera Del Duero Red,4.0,3.0,3.432372999130605,6.030685260261263,9.0
Marques de Riscal,Rioja 150 Aniversario,2010.0,4.2,1686,Espana,Rioja,59.0,Rioja Red,4.0,3.0,4.031582240485785,6.030685260261263,9.0
Pintia,Toro,2006.0,4.2,1665,Espana,Toro,98.9,Toro Red,4.0,3.0,4.031582240485785,6.030685260261263,9.0
Bodegas Roda,Roda Reserva Rioja,2014.0,4.2,1645,Espana,Rioja,59.9,Rioja Red,4.0,3.0,4.031582240485785,6.030685260261263,9.0
Alto Moncayo,Veraton Garnacha,2014.0,4.2,1627,Espana,Campo de Borja,19.94,Grenache,4.0,3.0,3.041661205442391,6.030685260261263,9.0
R. Lopez de Heredia,Vina Bosconia Reserva,2009.0,4.2,1611,Espana,Rioja Alta,23.52,Rioja Red,4.0,3.0,3.1994891110680106,6.030685260261263,9.0
Casa Rojo,Alexander vs. The Ham Factory,2016.0,4.2,1573,Espana,Ribera del Duero,33.3733333333333,Ribera Del Duero Red,4.0,3.0,3.5372810699628214,6.030685260261263,9.0
Dominio de Pingus,PSI,2019.0,4.2,1355,Espana,Ribera del Duero,34.5,Ribera Del Duero Red,4.0,3.0,3.56953269648137,6.030685260261263,9.0
Alto Moncayo,Veraton Garnacha,2018.0,4.2,1343,Espana,Campo de Borja,21.6,Grenache,4.0,3.0,3.1179499062782403,6.030685260261263,9.0
La Rioja Alta,Vina Alberdi Crianza,2015.0,4.2,1341,Espana,Rioja,11.2,Rioja Red,4.0,3.0,2.990719731730447,6.030685260261263,9.0
Huerta de Albala,Taberner Tierra de Cadiz,2014.0,4.2,1337,Espana,Cadiz,32.0010770950795,Syrah,4.0,3.0,3.496540200178665,6.030685260261263,9.0
Marques de Riscal,Rioja Gran Reserva,2011.0,4.2,1319,Espana,Rioja,39.5,Rioja Red,4.0,3.0,3.7013019741124933,6.030685260261263,9.0
Garmon,Ribera del Duero,2015.0,4.2,1308,Espana,Ribera del Duero,33.59,Ribera Del Duero Red,4.0,3.0,3.5435646229490776,6.030685260261263,9.0
Marques de Murrieta,Capellania Reserva,2015.0,4.2,1301,Espana,Rioja,29.15,Rioja White,4.0,3.0,3.4061849231731944,6.030685260261263,9.0
Aster,Finca El Otero,2014.0,4.2,1267,Espana,Ribera del Duero,28.75,Ribera Del Duero Red,4.0,3.0,3.392829131991639,6.030685260261263,9.0
Matarromera,Crianza,2017.0,4.2,1209,Espana,Ribera del Duero,16.88,Ribera Del Duero Red,4.0,3.0,2.990719731730447,6.030685260261263,9.0
Gramona,Gessami,2015.0,4.2,1164,Espana,Penedes,9.95,Rioja Red,4.0,3.0,2.990719731730447,6.030685260261263,9.0
Dominio de Atauta,Dominio de Atauta,2016.0,4.2,1159,Espana,Ribera del Duero,25.71,Ribera Del Duero Red,4.0,3.0,3.2850380271218693,6.030685260261263,9.0
Bodegas Ximenez-Spinola,Finest Old Harvest Medium,2015.0,4.2,1155,Espana,Jerez-Xeres-Sherry,18.87,Pedro Ximenez,4.0,1.0,2.990719731730447,6.030685260261263,9.0
Huerta de Albala,Taberner Tierra de Cadiz,2015.0,4.2,1125,Espana,Cadiz,17.04,Syrah,4.0,3.0,2.990719731730447,6.030685260261263,9.0
Montecastro,Ribera del Duero Red,2015.0,4.2,1095,Espana,Ribera del Duero,18.9,Ribera Del Duero Red,4.0,3.0,2.990719731730447,6.030685260261263,9.0
Bosque de Matasnos,Bosque de Matasnos Etiqueta Blanca,2017.0,4.2,1093,Espana,Ribera del Duero,55.75,Ribera Del Duero Red,4.0,3.0,4.031582240485785,6.030685260261263,9.0
Garmon,Ribera del Duero,2014.0,4.2,1086,Espana,Ribera del Duero,37.9,Ribera Del Duero Red,4.0,3.0,3.6609942506244004,6.030685260261263,9.0
Bodegas La Horra,Corimbo I,2014.0,4.2,1078,Espana,Ribera del Duero,39.0,Ribera Del Duero Red,4.0,3.0,3.6888794541139363,6.030685260261263,9.0
Carmelo Rodero,Crianza,2018.0,4.2,1070,Espana,Ribera del Duero,16.49,Ribera Del Duero Red,4.0,3.0,2.990719731730447,6.030685260261263,9.0
Lustau,Vermut Rojo,2015.0,4.2,1058,Espana,Jerez-Xeres-Sherry,11.9,Rioja Red,4.0,3.0,2.990719731730447,6.030685260261263,9.0
Atalaya,La Atalaya del Camino,2019.0,4.2,1048,Espana,Almansa,11.66,Red,4.0,3.0,2.990719731730447,6.030685260261263,9.0
R. Lopez de Heredia,Vina Tondonia Reserva Blanco,2005.0,4.2,1043,Espana,Rioja Alta,26.9,Rioja White,4.0,3.0,3.32862668882732,6.030685260261263,9.0
Protos,Reserva 5 Ano,2015.0,4.2,1040,Espana,Ribera del Duero,22.95,Ribera Del Duero Red,4.0,3.0,3.175968323856924,6.030685260261263,9.0
Emilio Moro,Malleolus,2014.0,4.2,1030,Espana,Ribera del Duero,31.95,Ribera Del Duero Red,4.0,3.0,3.4949912609485163,6.030685260261263,9.0
Gonzalez-Byass,Del Duque Amontillado Sherry VORS,2015.0,4.2,1016,Espana,Jerez Amontillado,77.22,Sherry,4.0,3.0,4.031582240485785,6.030685260261263,9.0
