winery,wine,year,rating,num_reviews,region,price,type,body,acidity
Teso La Monja,Tinto,2013.0,4.9,58,Toro,995.0,Toro Red,5.0,3.0
Artadi,Vina El Pison,2018.0,4.9,31,Vino de Espana,313.5,Tempranillo,4.0,2.0
Vega Sicilia,Unico,2009.0,4.8,1793,Ribera del Duero,324.95,Ribera Del Duero Red,5.0,3.0
Vega Sicilia,Unico,1999.0,4.8,1705,Ribera del Duero,692.96,Ribera Del Duero Red,5.0,3.0
Vega Sicilia,Unico,1996.0,4.8,1309,Ribera del Duero,778.06,Ribera Del Duero Red,5.0,3.0
Vega Sicilia,Unico,1998.0,4.8,1209,Ribera del Duero,490.0,Ribera Del Duero Red,5.0,3.0
Vega Sicilia,Unico,2010.0,4.8,1201,Ribera del Duero,349.0,Ribera Del Duero Red,5.0,3.0
Vega Sicilia,Unico,1995.0,4.8,926,Ribera del Duero,810.89,Ribera Del Duero Red,5.0,3.0
Vega Sicilia,Unico Reserva Especial Edicion,2015.0,4.8,643,Ribera del Duero,345.0,Ribera Del Duero Red,5.0,3.0
Vega Sicilia,Unico,2011.0,4.8,630,Ribera del Duero,315.0,Ribera Del Duero Red,5.0,3.0
Vega Sicilia,Unico Reserva Especial Edicion,2016.0,4.8,591,Ribera del Duero,514.85,Ribera Del Duero Red,5.0,3.0
Pago de Carraovejas,El Anejon,2016.0,4.8,454,Ribera del Duero,105.15,Ribera Del Duero Red,5.0,3.0
Vega Sicilia,Unico Reserva Especial Edicion,2018.0,4.8,438,Ribera del Duero,430.0,Ribera Del Duero Red,5.0,3.0
Vega Sicilia,Unico,1970.0,4.8,417,Ribera del Duero,925.0,Ribera Del Duero Red,5.0,3.0
Toro Albala,Don PX Convento Seleccion,1946.0,4.8,398,Montilla-Moriles,350.0,Pedro Ximenez,5.0,1.0
Pago de Carraovejas,Cuesta de Las Liebres,2015.0,4.8,372,Ribera del Duero,166.18,Ribera Del Duero Red,5.0,3.0
Vega Sicilia,Unico,1962.0,4.8,295,Ribera del Duero,1620.0,Ribera Del Duero Red,5.0,3.0
Vega Sicilia,Unico Reserva Especial Edicion,2019.0,4.8,250,Ribera del Duero,431.36,Ribera Del Duero Red,5.0,3.0
Bodegas El Nido,El Nido,2018.0,4.8,217,Jumilla,195.627379550654,Red,4.0,3.0
Vega Sicilia,Unico Reserva Especial Edicion,2004.0,4.8,211,Ribera del Duero,824.43,Ribera Del Duero Red,5.0,3.0
Valdespino,Toneles Moscatel,2008.5,4.8,174,Jerez-Xeres-Sherry,253.0,Sherry,4.0,3.0
Vega Sicilia,Unico Reserva Especial Edicion,2013.0,4.8,172,Ribera del Duero,570.51,Ribera Del Duero Red,5.0,3.0
Dominio de Pingus,Pingus,2016.0,4.8,145,Ribera del Duero,1280.0,Ribera Del Duero Red,5.0,3.0
Toro Albala,Don PX Convento Seleccion,1931.0,4.8,139,Montilla-Moriles,244.85,Pedro Ximenez,5.0,1.0
Vega Sicilia,Unico Reserva Especial Edicion,2010.0,4.8,125,Ribera del Duero,719.34,Ribera Del Duero Red,5.0,3.0
Vega Sicilia,Unico,1979.0,4.8,118,Ribera del Duero,815.0,Ribera Del Duero Red,5.0,3.0
Toro Albala,Don PX Pedro Ximenez,1946.0,4.8,103,Montilla-Moriles,285.86,Pedro Ximenez,5.0,1.0
