winery,wine,year,rating,num_reviews,region,price,type,body,acidity
Pago de Carraovejas,El Anejon,2016.0,4.8,454,Ribera del Duero,105.15,Ribera Del Duero Red,5.0,3.0
Vega Sicilia,Valbuena 5o,2016.0,4.7,2177,Ribera del Duero,107.57,Ribera Del Duero Red,5.0,3.0
Pago de Carraovejas,Cuesta de Las Liebres,2014.0,4.7,685,Ribera del Duero,113.18,Ribera Del Duero Red,5.0,3.0
Pago de Carraovejas,El Anejon,2015.0,4.7,543,Ribera del Duero,75.1,Ribera Del Duero Red,5.0,3.0
Bodegas El Nido,El Nido,2008.0,4.7,347,Jumilla,134.19,Red,4.0,3.0
Vinedos de Paganos,La Nieta,2015.0,4.7,312,Rioja,82.58,Rioja Red,4.0,3.0
Emilio Moro,Malleolus de Valderramiro,2016.0,4.7,300,Ribera del Duero,84.95,Ribera Del Duero Red,5.0,3.0
Emilio Moro,Malleolus de Sanchomartin,2016.0,4.7,291,Ribera del Duero,116.54,Ribera Del Duero Red,5.0,3.0
Teso La Monja,Alabaster,2016.0,4.7,264,Toro,135.0,Toro Red,5.0,3.0
Quinta de la Quietud,La Mula de la Quietud,2015.0,4.7,256,Toro,63.75,Toro Red,5.0,3.0
Bodegas Mauro,Terreus Paraje de Cueva Baja,2017.0,4.7,251,Castilla y Leon,66.07,Tempranillo,4.0,2.0
Vinedos de Paganos,La Nieta,2018.0,4.7,220,Rioja,89.9,Rioja Red,4.0,3.0
Bodegas San Roman,Cartago Paraje de Pozo,2015.0,4.7,137,Toro,78.9,Toro Red,5.0,3.0
Vega Sicilia,Valbuena 5o,2017.0,4.7,133,Ribera del Duero,134.89,Ribera Del Duero Red,5.0,3.0
Alto Moncayo,Aquilon Garnacha,2011.0,4.7,123,Campo de Borja,108.9,Grenache,5.0,3.0
Finca Moncloa,Tintilla de Rota,2016.0,4.7,92,Cadiz,43.13,Rioja Red,4.158426788816932,2.946611909650924
Recaredo,Turo d'en Mota,2007.0,4.7,64,Cava,99.0,Cava,2.0,3.0
Pago de Los Capellanes,Parcela El Picon Tinto,2016.0,4.7,59,Ribera del Duero,134.26,Ribera Del Duero Red,5.0,3.0
Vinedos de Paganos,La Nieta,2019.0,4.7,49,Rioja,88.9,Rioja Red,4.0,3.0
Bodegas Amaren,El Regollar,2016.0,4.7,49,Rioja,77.9,Rioja Red,4.0,3.0
Teso La Monja,Alabaster,2018.0,4.7,45,Toro,123.89,Toro Red,5.0,3.0
Alvear,Abuelo Diego Palo Cortado,2018.0,4.7,42,Montilla-Moriles,114.28,Pedro Ximenez,5.0,1.0
Equipo Navazos,La Bota 78 de Oloroso,2018.0,4.7,41,Manzanilla,95.57,Sherry,4.0,3.0
Morca,Touran,2018.0,4.7,41,Campo de Borja,93.95,Grenache,5.0,3.0
Recaredo,Reserva Particular de Recaredo Brut Nature,2011.0,4.7,35,Cava,65.05,Cava,2.0,3.0
Bodegas Mauro,Terreus Paraje de Cueva Baja,2019.0,4.7,33,Castilla y Leon,86.9,Tempranillo,4.0,2.0
Vina Sastre,Regina Vides Ribera del Duero,1998.0,4.7,30,Ribera del Duero,94.2,Ribera Del Duero Red,5.0,3.0
Miguel Merino,La Loma,2018.0,4.7,29,Rioja Alta,46.0,Rioja Red,4.0,3.0
Gutierrez de la Vega,Recondita Armonia Monastrell Dulce,1987.0,4.7,27,Alicante,81.9,Rioja Red,4.158426788816932,2.946611909650924
Vega Sicilia,Valbuena 5o,2013.0,4.6,4747,Ribera del Duero,135.0,Ribera Del Duero Red,5.0,3.0
Alion,Ribera del Duero,2016.0,4.6,4516,Ribera del Duero,79.8,Ribera Del Duero Red,5.0,3.0
Aalto,PS (Pagos Seleccionados) Ribera del Duero,2017.0,4.6,3383,Ribera del Duero,116.187943627787,Ribera Del Duero Red,5.0,3.0
