winery,wine,year,rating,num_reviews,country,region,price,type,body,acidity,year_zscore,rating_zscore,num_reviews_zscore,price_zscore,body_zscore,acidity_zscore
Teso La Monja,Tinto,2013.0,4.5,58,Espana,Toro,118.96699999999998,Toro Red,5.0,3.0,-0.07144688519481508,5.46568628420028,-0.5437541732291451,6.218323877365292,1.4427641342321382,0.21511633698923277
Artadi,Vina El Pison,2018.0,4.5,31,Espana,Vino de Espana,313.5,Tempranillo,4.0,3.0,0.6490175095669816,5.46568628420028,-0.5811009655625712,1.685466049188601,-0.2716014314254562,-3.8141781289244894
Vega Sicilia,Unico,2009.0,4.5,1793,Espana,Ribera del Duero,324.95,Ribera Del Duero Red,5.0,3.0,-0.6478184010042524,4.6183806386545525,1.8561230378261926,1.761623381738305,1.4427641342321382,0.21511633698923277
Vega Sicilia,Unico,1999.0,4.5,1705,Espana,Ribera del Duero,118.96699999999998,Ribera Del Duero Red,5.0,3.0,-2.0887471905278456,4.6183806386545525,1.7344001591098412,4.209366608953719,1.4427641342321382,0.21511633698923277
Vega Sicilia,Unico,1996.0,4.5,1309,Espana,Ribera del Duero,118.96699999999998,Ribera Del Duero Red,5.0,3.0,-2.5210258273849235,4.6183806386545525,1.1866472048862597,4.775391849126625,1.4427641342321382,0.21511633698923277
Vega Sicilia,Unico,1998.0,4.5,1209,Espana,Ribera del Duero,490.0,Ribera Del Duero Red,5.0,3.0,-2.232840069480205,4.6183806386545525,1.0483257517994968,2.859419690675301,1.4427641342321382,0.21511633698923277
Vega Sicilia,Unico,2010.0,4.5,1201,Espana,Ribera del Duero,349.0,Ribera Del Duero Red,5.0,3.0,-0.503725522051893,4.6183806386545525,1.0372600355525559,1.9215870365697785,1.4427641342321382,0.21511633698923277
Vega Sicilia,Unico,1995.0,4.5,926,Espana,Ribera del Duero,118.96699999999998,Ribera Del Duero Red,5.0,3.0,-2.665118706337283,4.6183806386545525,0.6568760395639576,4.993753877738571,1.4427641342321382,0.21511633698923277
Vega Sicilia,Unico Reserva Especial Edicion,2015.0,4.5,643,Espana,Ribera del Duero,345.0,Ribera Del Duero Red,5.0,3.0,0.21673887270990355,4.6183806386545525,0.2654263273284183,1.8949818548930262,1.4427641342321382,0.21511633698923277
Vega Sicilia,Unico,2011.0,4.5,630,Espana,Ribera del Duero,315.0,Ribera Del Duero Red,5.0,3.0,-0.35963264309953374,4.6183806386545525,0.24744453842713912,1.6954429923173833,1.4427641342321382,0.21511633698923277
Vega Sicilia,Unico Reserva Especial Edicion,2016.0,4.5,591,Espana,Ribera del Duero,118.96699999999998,Ribera Del Duero Red,5.0,3.0,0.3608317516622629,4.6183806386545525,0.19349917172330158,3.0247043818421253,1.4427641342321382,0.21511633698923277
Pago de Carraovejas,El Anejon,2016.0,4.5,454,Espana,Ribera del Duero,105.15,Ribera Del Duero Red,5.0,3.0,0.3608317516622629,4.6183806386545525,0.003998780994436284,0.2996686486007601,1.4427641342321382,0.21511633698923277
Vega Sicilia,Unico Reserva Especial Edicion,2018.0,4.5,438,Espana,Ribera del Duero,430.0,Ribera Del Duero Red,5.0,3.0,0.6490175095669816,4.6183806386545525,-0.018132651499445793,2.4603419655240146,1.4427641342321382,0.21511633698923277
Pago de Carraovejas,Cuesta de Las Liebres,2015.0,4.5,372,Espana,Ribera del Duero,166.18,Ribera Del Duero Red,5.0,3.0,0.21673887270990355,4.6183806386545525,-0.10942481053670937,0.70559720803381,1.4427641342321382,0.21511633698923277
Vega Sicilia,Unico Reserva Especial Edicion,2019.0,4.5,250,Espana,Ribera del Duero,431.36,Ribera Del Duero Red,5.0,3.0,0.7931103885193408,4.6183806386545525,-0.2781769833025602,2.469387727294111,1.4427641342321382,0.21511633698923277
Bodegas El Nido,El Nido,2018.0,4.5,217,Espana,Jumilla,195.627379550654,Red,4.0,3.0,0.6490175095669816,4.6183806386545525,-0.323823062821192,0.9014604287461684,-0.2716014314254562,0.21511633698923277
Vega Sicilia,Unico Reserva Especial Edicion,2004.0,4.5,211,Espana,Ribera del Duero,118.96699999999998,Ribera Del Duero Red,5.0,3.0,-1.368282795766049,4.6183806386545525,-0.3321223500063978,5.083812417714378,1.4427641342321382,0.21511633698923277
Valdespino,Toneles Moscatel,,4.5,174,Espana,Jerez-Xeres-Sherry,253.0,Sherry,4.0,3.0,,4.6183806386545525,-0.3833012876485001,1.2830626763277209,-0.2716014314254562,0.21511633698923277
Vega Sicilia,Unico Reserva Especial Edicion,2013.0,4.5,172,Espana,Ribera del Duero,118.96699999999998,Ribera Del Duero Red,5.0,3.0,-0.07144688519481508,4.6183806386545525,-0.3860677167102353,3.394915484874135,1.4427641342321382,0.21511633698923277
Dominio de Pingus,Pingus,2016.0,4.5,145,Espana,Ribera del Duero,118.96699999999998,Ribera Del Duero Red,5.0,3.0,0.3608317516622629,4.6183806386545525,-0.42341450904366135,8.113943071833901,1.4427641342321382,0.21511633698923277
Vega Sicilia,Unico Reserva Especial Edicion,2010.0,4.5,125,Espana,Ribera del Duero,118.96699999999998,Ribera Del Duero Red,5.0,3.0,-0.503725522051893,4.6183806386545525,-0.45107879966101394,4.3848277821119,1.4427641342321382,0.21511633698923277
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2004.0,4.5,87,Espana,Priorato,118.96699999999998,Priorat Red,4.0,3.0,-1.368282795766049,4.6183806386545525,-0.5036409518339838,8.980340813137344,-0.2716014314254562,0.21511633698923277
Vega Sicilia,Unico Reserva Especial Edicion,2005.0,4.5,87,Espana,Ribera del Duero,118.96699999999998,Ribera Del Duero Red,5.0,3.0,-1.2241899168136896,4.6183806386545525,-0.5036409518339838,5.014173354675479,1.4427641342321382,0.21511633698923277
Vega Sicilia,Unico Reserva Especial Edicion,2020.0,4.5,84,Espana,Ribera del Duero,435.75,Ribera Del Duero Red,5.0,3.0,0.9372032674717001,4.6183806386545525,-0.5077905954265868,2.4985869141843464,1.4427641342321382,0.21511633698923277
Ordonez,Vatan Arena Tinta de Toro,2014.0,4.5,79,Espana,Toro,369.05,Toro Red,5.0,3.0,0.07264599375754424,4.6183806386545525,-0.5147066680809249,2.0549455097245004,1.4427641342321382,0.21511633698923277
Bodegas Valduero,Ribera Del Duero Gran Reserva 12 Anos,1999.0,4.5,68,Espana,Ribera del Duero,118.96699999999998,Ribera Del Duero Red,5.0,3.0,-2.0887471905278456,4.6183806386545525,-0.5299220279204688,6.244929059042045,1.4427641342321382,0.21511633698923277
Vina Sastre,Pesus Ribera del Duero,2007.0,4.5,68,Espana,Ribera del Duero,360.0,Ribera Del Duero Red,5.0,3.0,-0.936004158908971,4.6183806386545525,-0.5299220279204688,1.9947512861808476,1.4427641342321382,0.21511633698923277
Teso La Monja,Tinto,2012.0,4.5,56,Espana,Toro,118.96699999999998,Toro Red,5.0,3.0,-0.2155397641471744,4.6183806386545525,-0.5465206022908804,7.515326484106972,1.4427641342321382,0.21511633698923277
Dominio de Pingus,Pingus,2017.0,4.5,52,Espana,Ribera del Duero,118.96699999999998,Ribera Del Duero Red,5.0,3.0,0.5049246306146222,4.6183806386545525,-0.5520534604143509,7.249274667339448,1.4427641342321382,0.21511633698923277
Teso La Monja,Tinto,2009.0,4.5,50,Espana,Toro,118.96699999999998,Toro Red,5.0,3.0,-0.6478184010042524,4.6183806386545525,-0.5548198894760862,5.919015583501828,1.4427641342321382,0.21511633698923277
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2008.0,4.5,40,Espana,Priorato,118.96699999999998,Priorat Red,4.0,3.0,-0.7919112799566117,4.6183806386545525,-0.5686520347847625,6.392654330302213,-0.2716014314254562,0.21511633698923277
Sierra Cantabria,Magico,2016.0,4.5,40,Espana,Rioja,118.96699999999998,Rioja Red,4.0,3.0,0.3608317516622629,4.6183806386545525,-0.5686520347847625,3.2219152910210527,-0.2716014314254562,0.21511633698923277
Teso La Monja,Tinto,2011.0,4.5,32,Espana,Toro,118.96699999999998,Toro Red,5.0,3.0,-0.35963264309953374,4.6183806386545525,-0.5797177510317035,8.213712503121723,1.4427641342321382,0.21511633698923277
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2017.0,4.5,31,Espana,Priorato,118.96699999999998,Priorat Red,4.0,3.0,0.5049246306146222,4.6183806386545525,-0.5811009655625712,6.199700250191566,-0.2716014314254562,0.21511633698923277
Teso La Monja,Tinto,2015.0,4.5,28,Espana,Toro,118.96699999999998,Toro Red,5.0,3.0,0.21673887270990355,4.6183806386545525,-0.585250609155174,8.176731300591038,1.4427641342321382,0.21511633698923277
Descendientes de J. Palacios,La Faraona Bierzo (Corullon),2017.0,4.5,26,Espana,Bierzo,118.96699999999998,Red,4.0,3.0,0.5049246306146222,4.6183806386545525,-0.5880170382169093,6.909393471418937,-0.2716014314254562,0.21511633698923277
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2018.0,4.5,26,Espana,Priorato,118.96699999999998,Priorat Red,4.0,3.0,0.6490175095669816,4.6183806386545525,-0.5880170382169093,6.882788289742185,-0.2716014314254562,0.21511633698923277
Vega Sicilia,Unico,2008.0,4.5,2480,Espana,Ribera del Duero,289.0,Ribera Del Duero Red,5.0,3.0,-0.7919112799566117,3.771074993108832,2.8063914205322544,1.5225093114184927,1.4427641342321382,0.21511633698923277
Vega Sicilia,Unico,2003.0,4.5,2419,Espana,Ribera del Duero,325.0,Ribera Del Duero Red,5.0,3.0,-1.5123756747184083,3.771074993108832,2.722015334149329,1.761955946509264,1.4427641342321382,0.21511633698923277
Vega Sicilia,Valbuena 5o,2016.0,4.5,2177,Espana,Ribera del Duero,107.57,Ribera Del Duero Red,5.0,3.0,0.3608317516622629,3.771074993108832,2.3872774176793623,0.3157647835151952,1.4427641342321382,0.21511633698923277
Vega Sicilia,Valbuena 5o,2005.0,4.5,1892,Espana,Ribera del Duero,234.0,Ribera Del Duero Red,5.0,3.0,-1.2241899168136896,3.771074993108832,1.993061276382088,1.1566880633631471,1.4427641342321382,0.21511633698923277
Vega Sicilia,Unico,2002.0,4.5,1199,Espana,Ribera del Duero,500.94,Ribera Del Duero Red,5.0,3.0,-1.6564685536707677,3.771074993108832,1.0344936064908206,2.9321848625612192,1.4427641342321382,0.21511633698923277
Vega Sicilia,Unico,1994.0,4.5,940,Espana,Ribera del Duero,118.96699999999998,Ribera Del Duero Red,5.0,3.0,-2.809211585289642,3.771074993108832,0.6762410429961044,5.403340649652175,1.4427641342321382,0.21511633698923277
Vega Sicilia,Unico Reserva Especial Edicion,2000.0,4.5,935,Espana,Ribera del Duero,118.96699999999998,Ribera Del Duero Red,5.0,3.0,-1.9446543115754862,3.771074993108832,0.6693249703417662,5.439124619007407,1.4427641342321382,0.21511633698923277
