winery,wine,year,rating,num_reviews,region,price,type,body,acidity
Pago de Carraovejas,El Anejon,0.49772993173147917,3.593151687989632,0.05716950959488273,Ribera del Duero,0.6894548704200179,Ribera Del Duero Red,1.296956309990759,0.23266979387308254
Vega Sicilia,Valbuena 5o,0.49772993173147917,2.7250792283467113,0.2867803837953092,Ribera del Duero,0.7110813226094727,Ribera Del Duero Red,1.296956309990759,0.23266979387308254
Pago de Carraovejas,Cuesta de Las Liebres,0.16405776117281787,2.7250792283467113,0.08795309168443498,Ribera del Duero,0.7612153708668453,Ribera Del Duero Red,1.296956309990759,0.23266979387308254
Pago de Carraovejas,El Anejon,0.33089384645214853,2.7250792283467113,0.06902985074626866,Ribera del Duero,0.420911528150134,Ribera Del Duero Red,1.296956309990759,0.23266979387308254
Bodegas El Nido,El Nido,-0.836958750503166,2.7250792283467113,0.04291044776119403,Jumilla,0.9489722966934763,Red,-0.3502347824343055,0.23266979387308254
Vinedos de Paganos,La Nieta,0.33089384645214853,2.7250792283467113,0.03824626865671642,Rioja,0.4877569258266309,Rioja Red,-0.3502347824343055,0.23266979387308254
Emilio Moro,Malleolus de Valderramiro,0.49772993173147917,2.7250792283467113,0.03664712153518124,Ribera del Duero,0.5089365504915103,Ribera Del Duero Red,1.296956309990759,0.23266979387308254
Emilio Moro,Malleolus de Sanchomartin,0.49772993173147917,2.7250792283467113,0.03544776119402985,Ribera del Duero,0.79124218051832,Ribera Del Duero Red,1.296956309990759,0.23266979387308254
Teso La Monja,Alabaster,0.49772993173147917,2.7250792283467113,0.03184968017057569,Toro,0.9562109025915996,Toro Red,1.296956309990759,0.23266979387308254
Quinta de la Quietud,La Mula de la Quietud,0.33089384645214853,2.7250792283467113,0.030783582089552237,Toro,0.31948168007149236,Toro Red,1.296956309990759,0.23266979387308254
Bodegas Mauro,Terreus Paraje de Cueva Baja,0.6645660170108098,2.7250792283467113,0.030117270788912576,Castilla y Leon,0.3402144772117962,Tempranillo,-0.3502347824343055,-3.4582847873180653
Vinedos de Paganos,La Nieta,0.8314021022901404,2.7250792283467113,0.025986140724946694,Rioja,0.5531724754244862,Rioja Red,-0.3502347824343055,0.23266979387308254
Bodegas San Roman,Cartago Paraje de Pozo,0.33089384645214853,2.7250792283467113,0.014925373134328356,Toro,0.45487042001787314,Toro Red,1.296956309990759,0.23266979387308254
Vega Sicilia,Valbuena 5o,0.6645660170108098,2.7250792283467113,0.01439232409381663,Ribera del Duero,0.9552278820375334,Ribera Del Duero Red,1.296956309990759,0.23266979387308254
Alto Moncayo,Aquilon Garnacha,-0.33645049466517407,2.7250792283467113,0.013059701492537313,Campo de Borja,0.7229669347631814,Grenache,1.296956309990759,0.23266979387308254
Finca Moncloa,Tintilla de Rota,0.49772993173147917,2.7250792283467113,0.008928571428571428,Cadiz,0.1352100089365505,Rioja Red,-0.08927558709354798,0.03561677721811278
Recaredo,Turo d'en Mota,-1.0037948357824966,2.7250792283467113,0.005197228144989339,Cava,0.6344950848972296,Cava,-3.6446169672844344,0.23266979387308254
Pago de Los Capellanes,Parcela El Picon Tinto,0.49772993173147917,2.7250792283467113,0.004530916844349681,Ribera del Duero,0.949597855227882,Ribera Del Duero Red,1.296956309990759,0.23266979387308254
Vinedos de Paganos,La Nieta,0.9982381875694711,2.7250792283467113,0.0031982942430703624,Rioja,0.5442359249329759,Rioja Red,-0.3502347824343055,0.23266979387308254
Bodegas Amaren,El Regollar,0.49772993173147917,2.7250792283467113,0.0031982942430703624,Rioja,0.4459338695263628,Rioja Red,-0.3502347824343055,0.23266979387308254
Teso La Monja,Alabaster,0.8314021022901404,2.7250792283467113,0.0026652452025586358,Toro,0.8569258266309204,Toro Red,1.296956309990759,0.23266979387308254
Alvear,Abuelo Diego Palo Cortado,0.8314021022901404,2.7250792283467113,0.00226545842217484,Montilla-Moriles,0.7710455764075067,Pedro Ximenez,1.296956309990759,-7.149239368509213
Equipo Navazos,La Bota 78 de Oloroso,0.8314021022901404,2.7250792283467113,0.0021321961620469083,Manzanilla,0.6038427167113494,Sherry,-0.3502347824343055,0.23266979387308254
Morca,Touran,0.8314021022901404,2.7250792283467113,0.0021321961620469083,Campo de Borja,0.5893655049151028,Grenache,1.296956309990759,0.23266979387308254
Recaredo,Reserva Particular de Recaredo Brut Nature,-0.33645049466517407,2.7250792283467113,0.0013326226012793175,Cava,0.33109919571045576,Cava,-3.6446169672844344,0.23266979387308254
Bodegas Mauro,Terreus Paraje de Cueva Baja,0.9982381875694711,2.7250792283467113,0.0010660980810234541,Castilla y Leon,0.5263628239499554,Tempranillo,-0.3502347824343055,-3.4582847873180653
Vina Sastre,Regina Vides Ribera del Duero,-2.5053196032964724,2.7250792283467113,0.0006663113006396592,Ribera del Duero,0.5915996425379804,Ribera Del Duero Red,1.296956309990759,0.23266979387308254
Miguel Merino,La Loma,0.8314021022901404,2.7250792283467113,0.0005330490405117271,Rioja Alta,0.16085790884718498,Rioja Red,-0.3502347824343055,0.23266979387308254
Gutierrez de la Vega,Recondita Armonia Monastrell Dulce,-4.34051654136911,2.7250792283467113,0.00026652452025586375,Alicante,0.481680071492404,Rioja Red,-0.08927558709354798,0.03561677721811278
Vega Sicilia,Valbuena 5o,-0.0027783241065127895,1.8570067687037832,0.6292643923240938,Ribera del Duero,0.9562109025915996,Ribera Del Duero Red,1.296956309990759,0.23266979387308254
Alion,Ribera del Duero,0.49772993173147917,1.8570067687037832,0.5984808102345416,Ribera del Duero,0.4629133154602323,Ribera Del Duero Red,1.296956309990759,0.23266979387308254
Aalto,PS (Pagos Seleccionados) Ribera del Duero,0.6645660170108098,1.8570067687037832,0.4474946695095949,Ribera del Duero,0.7880960109721805,Ribera Del Duero Red,1.296956309990759,0.23266979387308254
Aalto,PS (Pagos Seleccionados) Ribera del Duero,0.8314021022901404,1.8570067687037832,0.4283049040511727,Ribera del Duero,0.5478105451295799,Ribera Del Duero Red,1.296956309990759,0.23266979387308254
Alion,Ribera del Duero,0.6645660170108098,1.8570067687037832,0.29091151385927505,Ribera del Duero,0.46380697050938346,Ribera Del Duero Red,1.296956309990759,0.23266979387308254
Dominio de Pingus,Flor de Pingus,0.8314021022901404,1.8570067687037832,0.1783049040511727,Ribera del Duero,0.9110813226094726,Ribera Del Duero Red,1.296956309990759,0.23266979387308254
Aalto,PS (Pagos Seleccionados) Ribera del Duero,0.9982381875694711,1.8570067687037832,0.1443230277185501,Ribera del Duero,0.4374441465594281,Ribera Del Duero Red,1.296956309990759,0.23266979387308254
