winery,wine,year,rating,num_reviews,country,region,price,type,body,acidity
Pago de Carraovejas,El Anejon,2016,3.517570659026474,0.8026417863355612,Espana,Ribera del Duero,0.8411068808189298,Ribera Del Duero Red,1.3972875305566685,0.0
Pago de Carraovejas,Cuesta de Las Liebres,2015,3.517570659026474,0.49604463793345194,Espana,Ribera del Duero,2.099801775105736,Ribera Del Duero Red,1.3972875305566685,0.0
Bodegas El Nido,El Nido,2018,3.517570659026474,-0.08349875233882764,Espana,Jumilla,2.707130405132508,Red,-0.39845430408041677,0.0
La Rioja Alta,Gran Reserva 890,1985,3.517570659026474,-0.7976457687388625,Espana,Rioja,3.113687421560584,Rioja Red,-0.39845430408041677,0.0
Pago de Carraovejas,Cuesta de Las Liebres,2014,2.6838026391351555,1.6663483873219906,Espana,Ribera del Duero,1.006719202646278,Ribera Del Duero Red,1.3972875305566685,0.0
Pago de Carraovejas,El Anejon,2015,2.6838026391351555,1.1354118620402893,Espana,Ribera del Duero,0.22134968643389724,Ribera Del Duero Red,1.3972875305566685,0.0
Bodegas El Nido,El Nido,2014,2.6838026391351555,1.0157641943711737,Espana,Jumilla,1.8671608049671946,Red,-0.39845430408041677,0.0
Bodegas El Nido,El Nido,2013,2.6838026391351555,0.8848995578580783,Espana,Jumilla,1.6629812301115598,Red,-0.39845430408041677,0.0
Bodegas El Nido,El Nido,2008,2.6838026391351555,0.4025698975669552,Espana,Jumilla,1.4400336337287911,Red,-0.39845430408041677,0.0
Vinedos de Paganos,La Nieta,2015,2.6838026391351555,0.27170526105385984,Espana,Rioja,0.37561869854704344,Rioja Red,-0.39845430408041677,0.0
Emilio Moro,Malleolus de Valderramiro,2016,2.6838026391351555,0.22683738567794143,Espana,Ribera del Duero,0.42449805131551366,Ribera Del Duero Red,1.3972875305566685,0.0
Emilio Moro,Malleolus de Sanchomartin,2016,2.6838026391351555,0.1931864791460026,Espana,Ribera del Duero,1.0760165129003114,Ribera Del Duero Red,1.3972875305566685,0.0
Bodegas El Nido,El Nido,2017,2.6838026391351555,0.10718971800882564,Espana,Jumilla,1.866129594993176,Red,-0.39845430408041677,0.0
Teso La Monja,Alabaster,2016,2.6838026391351555,0.09223375955018616,Espana,Toro,1.4567392353078885,Toro Red,1.3972875305566685,0.0
Quinta de la Quietud,La Mula de la Quietud,2015,2.6838026391351555,0.062321842632907215,Espana,Toro,-0.01273497766826959,Toro Red,1.3972875305566685,0.0
Bodega Contador (Benjamin Romeo),Contador Rioja,2012,2.6838026391351555,0.013714977642328928,Espana,Rioja,3.0839885743088553,Rioja Red,-0.39845430408041677,0.0
Remirez de Ganuza,Maria Remirez de Ganuza,2006,2.6838026391351555,0.0024980087983493228,Espana,Rioja,3.517096763396565,Rioja Red,-0.39845430408041677,0.0
Vinedos de Paganos,La Nieta,2018,2.6838026391351555,-0.07228178349484804,Espana,Rioja,0.526587838743331,Rioja Red,-0.39845430408041677,0.0
Bodegas San Roman,Cartago Paraje de Pozo,2015,2.6838026391351555,-0.3826179215116171,Espana,Toro,0.29972164445929256,Toro Red,1.3972875305566685,0.0
Pago de Los Capellanes,Parcela El Picon Tinto,2009,2.6838026391351555,-0.3938348903555967,Espana,Ribera del Duero,1.848599025434864,Ribera Del Duero Red,1.3972875305566685,0.0
Vega Sicilia,Valbuena 5o,2017,2.6838026391351555,-0.39757387997025656,Espana,Ribera del Duero,1.4544705733650478,Ribera Del Duero Red,1.3972875305566685,0.0
Bodega Numanthia,Termanthia,2005,2.6838026391351555,-0.4050518591995763,Espana,Toro,2.9439502598371625,Toro Red,1.3972875305566685,0.0
Alto Moncayo,Aquilon Garnacha,2011,2.6838026391351555,-0.43496377611685527,Espana,Campo de Borja,0.9184476288703065,Grenache,1.3972875305566685,0.0
Bodegas Roda,Cirsion Rioja,2000,2.6838026391351555,-0.5695674022446106,Espana,Rioja,2.281707214522574,Rioja Red,-0.39845430408041677,0.0
Bodegas El Nido,El Nido,2019,2.6838026391351555,-0.5957403295472296,Espana,Jumilla,1.6815430096438904,Red,-0.39845430408041677,0.0
Martinet,Cami Pesseroles,2006,2.6838026391351555,-0.6518251737671277,Espana,Priorato,2.444638390417474,Priorat Red,-0.39845430408041677,0.0
Pago de Los Capellanes,Parcela El Picon Tinto,2016,2.6838026391351555,-0.6742591114550869,Espana,Ribera del Duero,1.4414773276924167,Ribera Del Duero Red,1.3972875305566685,0.0
Clos Erasmus,Daphne Glorian Red,2007,2.6838026391351555,-0.7041710283723658,Espana,Priorato,2.83876684248729,Red,-0.39845430408041677,0.0
Vinedos de Paganos,La Nieta,2019,2.6838026391351555,-0.7116490076016855,Espana,Rioja,0.5059636392629638,Rioja Red,-0.39845430408041677,0.0
Bodegas Amaren,El Regollar,2016,2.6838026391351555,-0.7116490076016855,Espana,Rioja,0.2790974449789254,Rioja Red,-0.39845430408041677,0.0
Teso La Monja,Alabaster,2018,2.6838026391351555,-0.726604966060325,Espana,Toro,1.2276043790810096,Toro Red,1.3972875305566685,0.0
Equipo Navazos,La Bota 78 de Oloroso,N.V.,2.6838026391351555,-0.7415609245189645,Espana,Manzanilla,0.6435270497970124,Sherry,-0.39845430408041677,0.0
Morca,Touran,2018,2.6838026391351555,-0.7415609245189645,Espana,Campo de Borja,0.6101158466388178,Grenache,1.3972875305566685,0.0
Rafael Palacios,Sorte O Soro Val do Bibei,2019,2.6838026391351555,-0.7565168829776039,Espana,Valdeorras,2.6913038162026655,Unknown,0.6789907967018337,0.0
Dehesa de Los Canonigos,Gran Reserva,2001,2.6838026391351555,-0.7789508206655631,Espana,Ribera del Duero,2.4910428392483004,Ribera Del Duero Red,1.3972875305566685,0.0
Vina Sastre,Regina Vides Ribera del Duero,1998,2.6838026391351555,-0.782689810280223,Espana,Ribera del Duero,0.6152718965089096,Ribera Del Duero Red,1.3972875305566685,0.0
Miguel Merino,La Loma,2018,2.6838026391351555,-0.7864287998948829,Espana,Rioja Alta,-0.3788145184447862,Rioja Red,-0.39845430408041677,0.0
Gutierrez de la Vega,Recondita Armonia Monastrell Dulce,1987,2.6838026391351555,-0.7939067791242026,Espana,Alicante,0.36159424290039394,Unknown,-1.1167510379352508,0.0
Aalto,PS (Pagos Seleccionados) Ribera del Duero,2019,1.8500346192438295,3.2479409943231152,Espana,Ribera del Duero,0.2595044554725766,Ribera Del Duero Red,1.3972875305566685,0.0
Vega Sicilia,Valbuena 5o,2002,1.8500346192438295,2.604834780601618,Espana,Ribera del Duero,3.4572865849035,Ribera Del Duero Red,1.3972875305566685,0.0
Bodega Numanthia,Termanthia,2012,1.8500346192438295,2.2458917775942706,Espana,Toro,3.0860509942568917,Toro Red,1.3972875305566685,0.0
Bodega Numanthia,Termanthia,2011,1.8500346192438295,2.058942296861277,Espana,Toro,2.900433198933588,Toro Red,1.3972875305566685,0.0
Carmelo Rodero,Pago De Valtarrena,2015,1.8500346192438295,1.7224332315418887,Espana,Ribera del Duero,-0.29734893049733596,Ribera Del Duero Red,1.3972875305566685,0.0
Emilio Moro,Malleolus de Sanchomartin,2011,1.8500346192438295,1.6962603042392697,Espana,Ribera del Duero,1.2504972405042172,Ribera Del Duero Red,1.3972875305566685,0.0
Emilio Moro,Malleolus de Valderramiro,2015,1.8500346192438295,1.034459142444473,Espana,Ribera del Duero,0.21928726648586064,Ribera Del Duero Red,1.3972875305566685,0.0
Pago de Carraovejas,Cuesta de Las Liebres,2010,1.8500346192438295,0.6194312952172276,Espana,Ribera del Duero,0.35334456310824697,Ribera Del Duero Red,1.3972875305566685,0.0
Dominio del Bendito,El Titan del Bendito,2015,1.8500346192438295,0.5558684717680098,Espana,Toro,-0.430375017145704,Toro Red,1.3972875305566685,0.0
Emilio Moro,Malleolus de Sanchomartin,2015,1.8500346192438295,0.48482766908947234,Espana,Ribera del Duero,0.7142680540146717,Ribera Del Duero Red,1.3972875305566685,0.0
Vinedos de Paganos,La Nieta,2017,1.8500346192438295,0.17449153107270327,Espana,Rioja,0.9042169312288529,Rioja Red,-0.39845430408041677,0.0
Bodegas Roda,Cirsion Rioja,2007,1.8500346192438295,0.00997598802766906,Espana,Rioja,1.6629812301115598,Rioja Red,-0.39845430408041677,0.0
Bodegas Roda,Cirsion Rioja,2012,1.8500346192438295,-0.03115289773358949,Espana,Rioja,2.248296011364379,Rioja Red,-0.39845430408041677,0.0
Bodega Contador (Benjamin Romeo),Contador Rioja,2011,1.8500346192438295,-0.0535868354215487,Espana,Rioja,3.2097961911390946,Rioja Red,-0.39845430408041677,0.0
Marques de Murrieta,Dalmau Rioja,2017,1.8500346192438295,-0.0648038042655283,Espana,Rioja,0.439966200925789,Rioja Red,-0.39845430408041677,0.0
Sierra Cantabria,Finca el Bosque,2015,1.8500346192438295,-0.09471572118280726,Espana,Rioja,0.3203458439396597,Rioja Red,-0.39845430408041677,0.0
Vina Sastre,Pago de Santa Cruz,2018,1.8500346192438295,-0.10593269002678686,Espana,Ribera del Duero,0.08935480975954777,Ribera Del Duero Red,1.3972875305566685,0.0
Mas d'en Gil,Clos Fonta Priorat,2004,1.8500346192438295,-0.13958359655872568,Espana,Priorato,1.7661022275133955,Priorat Red,-0.39845430408041677,0.0
Carmelo Rodero,Pago De Valtarrena,2016,1.8500346192438295,-0.1470615757880454,Espana,Ribera del Duero,-0.31797312997770305,Ribera Del Duero Red,1.3972875305566685,0.0
Pago de Los Capellanes,Parcela El Picon Tinto,2014,1.8500346192438295,-0.158278544632025,Espana,Ribera del Duero,0.9289659706052935,Ribera Del Duero Red,1.3972875305566685,0.0
Emilio Moro,Malleolus de Sanchomartin,2014,1.8500346192438295,-0.19940743039328357,Espana,Ribera del Duero,1.1267520436220144,Ribera Del Duero Red,1.3972875305566685,0.0
Vega Sicilia,Valbuena 5o,1992,1.8500346192438295,-0.23679732653988225,Espana,Ribera del Duero,2.6941912041299165,Ribera Del Duero Red,1.3972875305566685,0.0
Pago de Los Capellanes,Parcela El Picon Tinto,2012,1.8500346192438295,-0.2779262123011408,Espana,Ribera del Duero,0.5080260592110005,Ribera Del Duero Red,1.3972875305566685,0.0
Casa Castillo,Cuvee N Vinas Viejas,2015,1.8500346192438295,-0.29662116037444014,Espana,Jumilla,0.17803886752512638,Red,-0.39845430408041677,0.0
Bodegas San Roman,Cartago Paraje de Pozo,2014,1.8500346192438295,-0.3227940876770592,Espana,Toro,-0.05522082859782593,Toro Red,1.3972875305566685,0.0
Bodega Numanthia,Termanthia,2014,1.8500346192438295,-0.3452280253650184,Espana,Toro,3.013866296075607,Toro Red,1.3972875305566685,0.0
Vega Sicilia,Valbuena 5o,1989,1.8500346192438295,-0.3601839838236579,Espana,Ribera del Duero,3.3865455806858407,Ribera Del Duero Red,1.3972875305566685,0.0
Remirez de Ganuza,Maria Remirez de Ganuza,2005,1.8500346192438295,-0.38635691112627696,Espana,Rioja,1.9517200228366998,Rioja Red,-0.39845430408041677,0.0
Vinas del Vero,Blecua Somontano,2013,1.8500346192438295,-0.39009590074093686,Espana,Somontano,0.11410384913598838,Red,-0.39845430408041677,0.0
Teso La Monja,Alabaster,2017,1.8500346192438295,-0.4050518591995763,Espana,Toro,1.7217601986306061,Toro Red,1.3972875305566685,0.0
Arzuaga,Amaya Arzuaga (Coleccion),2016,1.8500346192438295,-0.43496377611685527,Espana,Ribera del Duero,0.010982851734152727,Ribera Del Duero Red,1.3972875305566685,0.0
Bodegas Mas Alta,La Creu Alta,2013,1.8500346192438295,-0.4611367034194743,Espana,Priorato,0.511532173122663,Priorat Red,-0.39845430408041677,0.0
Dominio de Calogia,Tinto,2019,1.8500346192438295,-0.4686146826487941,Espana,Ribera del Duero,0.07368041815446864,Ribera Del Duero Red,1.3972875305566685,0.0
Tomas Postigo,5o Ano Ribera del Duero Tinto,2016,1.8500346192438295,-0.4723536722634539,Espana,Ribera del Duero,-0.42006291740552043,Ribera Del Duero Red,1.3972875305566685,0.0
Cal Pla,Planots Priorat,2010,1.8500346192438295,-0.47609266187811383,Espana,Priorato,0.4671901442398735,Priorat Red,-0.39845430408041677,0.0
Dominio del Bendito,El Titan del Bendito,2018,1.8500346192438295,-0.4798316514927737,Espana,Toro,-0.29734893049733596,Toro Red,1.3972875305566685,0.0
Ossian,Capitel,2018,1.8500346192438295,-0.49478760995141313,Espana,Castilla y Leon,-0.28579937878833045,Verdejo,-2.194196138717502,0.0
Arzuaga,Gran Arzuaga Ribera del Duero,2004,1.8500346192438295,-0.5022655891807329,Espana,Ribera del Duero,1.9187213036681123,Ribera Del Duero Red,1.3972875305566685,0.0
Alto Moncayo,Aquilon Garnacha,2015,1.8500346192438295,-0.5022655891807329,Espana,Campo de Borja,1.165938022634712,Grenache,1.3972875305566685,0.0
Cepa 21,Horcajo,2015,1.8500346192438295,-0.5209605372540322,Espana,Ribera del Duero,0.22547452632997073,Ribera Del Duero Red,1.3972875305566685,0.0
Carmelo Rodero,Pago De Valtarrena,2018,1.8500346192438295,-0.5246995268686921,Espana,Ribera del Duero,-0.34787821922423545,Ribera Del Duero Red,1.3972875305566685,0.0
