winery,wine,year,rating,num_reviews,country,region,price,type,body,acidity
vega sicilia,unico,2009,4.8,1793,espana,ribera del duero,324.95,ribera del duero red,5.0,3.0
vega sicilia,unico,1999,4.8,1705,espana,ribera del duero,692.96,ribera del duero red,5.0,3.0
vega sicilia,unico,1996,4.8,1309,espana,ribera del duero,778.06,ribera del duero red,5.0,3.0
vega sicilia,unico,1998,4.8,1209,espana,ribera del duero,490.0,ribera del duero red,5.0,3.0
vega sicilia,unico,2010,4.8,1201,espana,ribera del duero,349.0,ribera del duero red,5.0,3.0
vega sicilia,unico,1995,4.8,926,espana,ribera del duero,810.89,ribera del duero red,5.0,3.0
vega sicilia,unico reserva especial edicion,2015,4.8,643,espana,ribera del duero,345.0,ribera del duero red,5.0,3.0
vega sicilia,unico,2011,4.8,630,espana,ribera del duero,315.0,ribera del duero red,5.0,3.0
vega sicilia,unico reserva especial edicion,2016,4.8,591,espana,ribera del duero,514.85,ribera del duero red,5.0,3.0
pago de carraovejas,el anejon,2016,4.8,454,espana,ribera del duero,105.15,ribera del duero red,5.0,3.0
vega sicilia,unico reserva especial edicion,2018,4.8,438,espana,ribera del duero,430.0,ribera del duero red,5.0,3.0
vega sicilia,unico,1970,4.8,417,espana,ribera del duero,925.0,ribera del duero red,5.0,3.0
toro albala,don px convento seleccion,1946,4.8,398,espana,montilla-moriles,350.0,pedro ximenez,5.0,1.0
pago de carraovejas,cuesta de las liebres,2015,4.8,372,espana,ribera del duero,166.18,ribera del duero red,5.0,3.0
vega sicilia,unico reserva especial edicion,2019,4.8,250,espana,ribera del duero,431.36,ribera del duero red,5.0,3.0
bodegas el nido,el nido,2018,4.8,217,espana,jumilla,195.627379550654,red,4.0,3.0
vega sicilia,unico reserva especial edicion,2004,4.8,211,espana,ribera del duero,824.43,ribera del duero red,5.0,3.0
valdespino,toneles moscatel,n.v.,4.8,174,espana,jerez-xeres-sherry,253.0,sherry,4.0,3.0
vega sicilia,unico reserva especial edicion,2013,4.8,172,espana,ribera del duero,570.51,ribera del duero red,5.0,3.0
toro albala,don px convento seleccion,1931,4.8,139,espana,montilla-moriles,244.85,pedro ximenez,5.0,1.0
vega sicilia,unico reserva especial edicion,2010,4.8,125,espana,ribera del duero,719.34,ribera del duero red,5.0,3.0
vega sicilia,unico,1979,4.8,118,espana,ribera del duero,815.0,ribera del duero red,5.0,3.0
toro albala,don px pedro ximenez,1946,4.8,103,espana,montilla-moriles,285.86,pedro ximenez,5.0,1.0
vega sicilia,unico reserva especial edicion,2005,4.8,87,espana,ribera del duero,813.96,ribera del duero red,5.0,3.0
vega sicilia,unico reserva especial edicion,2020,4.8,84,espana,ribera del duero,435.75,ribera del duero red,5.0,3.0
ordonez,vatan arena tinta de toro,2014,4.8,79,espana,toro,369.05,toro red,5.0,3.0
toro albala,don px convento seleccion,1929,4.8,69,espana,montilla-moriles,227.95,pedro ximenez,5.0,1.0
vina sastre,pesus ribera del duero,2007,4.8,68,espana,ribera del duero,360.0,ribera del duero red,5.0,3.0
teso la monja,tinto,2009,4.8,50,espana,toro,950.0,toro red,5.0,3.0
sierra cantabria,magico,2016,4.8,40,espana,rioja,544.5,rioja red,4.0,3.0
la rioja alta,gran reserva 890,1985,4.8,26,espana,rioja,215.34,rioja red,4.0,3.0
vega sicilia,valbuena 5o,2014,4.7,4350,espana,ribera del duero,175.5,ribera del duero red,5.0,3.0
vega sicilia,valbuena 5o,2006,4.7,3929,espana,ribera del duero,194.0,ribera del duero red,5.0,3.0
vega sicilia,unico,2005,4.7,3437,espana,ribera del duero,381.15,ribera del duero red,5.0,3.0
vega sicilia,unico,2004,4.7,3164,espana,ribera del duero,584.43,ribera del duero red,5.0,3.0
vega sicilia,unico,2000,4.7,3127,espana,ribera del duero,555.2,ribera del duero red,5.0,3.0
vega sicilia,unico,2007,4.7,2935,espana,ribera del duero,445.28,ribera del duero red,5.0,3.0
vega sicilia,valbuena 5o,2015,4.7,2826,espana,ribera del duero,189.0,ribera del duero red,5.0,3.0
vega sicilia,unico,2006,4.7,2765,espana,ribera del duero,362.25,ribera del duero red,5.0,3.0
